,"cln3-1","cln3-2","clb2-2","clb2-1","alpha0","alpha7","alpha14","alpha21","alpha28","alpha35","alpha42","alpha49","alpha56","alpha63","alpha70","alpha77","alpha84","alpha91","alpha98","alpha105","alpha112","alpha119","cdc15_10","cdc15_30","cdc15_50","cdc15_70","cdc15_80","cdc15_90","cdc15_100","cdc15_110","cdc15_120","cdc15_130","cdc15_140","cdc15_150","cdc15_160","cdc15_170","cdc15_180","cdc15_190","cdc15_200","cdc15_210","cdc15_220","cdc15_230","cdc15_240","cdc15_250","cdc15_270","cdc15_290","cdc28_0","cdc28_10","cdc28_20","cdc28_30","cdc28_40","cdc28_50","cdc28_60","cdc28_70","cdc28_80","cdc28_90","cdc28_100","cdc28_110","cdc28_120","cdc28_130","cdc28_140","cdc28_150","cdc28_160","elu0","elu30","elu60","elu90","elu120","elu150","elu180","elu210","elu240","elu270","elu300","elu330","elu360","elu390"
"YAL012W",-1.22,0.66,-0.64,-0.17,0.02,-0.33,-0.49,-0.3,-0.15,-0.24,0.4,0.53,0.25,0.49,-0.3,0.13,-0.12,-0.35,-0.19,0.47,0.06,0.13,-0.5,-0.94,-0.58,-0.04,0.72,-0.43,-0.07,-0.66,0.5,-0.31,0.29,-0.01,0.76,-0.15,0.54,,0.38,-0.2,0.86,0.14,0.81,-0.33,-0.36,-0.43,-0.18,-0.31,-0.23,-0.2,0.84,-0.37,0.47,0.19,-0.4,0.41,-0.25,-0.06,-0.09,,0.26,-0.19,0.12,-1.31,0.31,,0.07,0.11,0.17,0.27,0.03,0.09,0.47,-0.08,0.11,-0.41,0.16
"YAL013W",-0.34,-1.06,-0.45,-0.29,-0.36,-0.19,0,-0.32,-0.27,-0.12,0.04,0.17,0.06,0.06,0.28,0.38,-0.23,-0.12,0.05,0.58,-0.25,0.24,,,,-0.02,0.06,0.35,0.01,-0.26,-0.07,0.16,-0.26,-0.31,-0.32,-0.14,-0.06,,-0.02,0.03,0.34,0.41,-0.11,0.23,,,-0.49,-0.12,-0.44,-0.82,0.67,-0.62,0.38,0.6,0,0.63,0.14,0.08,0.07,,-0.1,-0.26,0.28,0.68,-0.14,-0.26,0.23,0,-0.23,0,0.21,-0.02,-0.02,-0.33,0.03,-0.23,0.07
"YAL014C",-0.84,-1.29,-0.12,0.18,-0.1,-0.15,-0.01,-0.25,-0.16,-0.13,0.06,0.19,-0.06,0.05,-0.25,0.23,-0.05,-0.13,0.09,0.22,0.35,0.09,0.02,0.34,0.09,-0.04,-0.04,-0.02,-0.51,-0.08,0,0.46,-0.19,0.04,0.18,-0.3,-0.38,0.07,-0.04,0.13,-0.06,-0.26,-0.1,0.27,0.2,0.22,-0.08,0.08,-0.07,-0.51,-0.13,-0.3,0.09,0.11,-0.04,0.87,0.02,-0.03,-0.12,-0.12,,-0.05,0.28,0.45,-0.21,-0.32,-0.13,-0.13,0,-0.3,-0.1,0.18,0.04,-0.05,0.19,0.18,0.21
"YAL015C",-0.12,-0.54,-0.12,-0.18,0,-0.01,0.12,-0.23,-0.13,0.25,0.3,-0.27,0.38,-0.06,-0.18,-0.16,-0.27,-0.16,0.09,0.09,0.22,0,,0.08,0.11,-0.49,0.25,-0.04,0.55,0.17,0.33,-0.09,-0.49,0.16,-1.35,-0.39,0.42,-0.31,0.14,0.08,0.54,0.65,0.25,-0.16,-0.58,0.14,0.26,0.3,0.07,-0.5,0,-0.4,0.2,0.21,-0.11,0.46,-0.19,-0.08,0.04,-0.22,,-0.07,0.05,-0.3,-0.35,0.07,0.09,0.21,-0.4,-0.18,0.12,0.33,-0.03,-0.16,0.33,0.28,0.01
"YAL016W",-0.42,0.23,0.14,0.32,0.06,0.01,0.17,-0.14,0.01,-0.24,0.15,-1.34,0.15,0.06,0.01,0.18,0.09,0.06,0.18,0.14,0.3,0.17,0.16,0.15,0.15,0.29,-0.1,0.15,-0.73,0.19,-0.15,0.29,-0.08,0.16,-0.05,0.12,-0.17,0.11,-0.15,0.03,-0.26,-0.34,-0.34,0.25,0.13,0.2,-0.53,-0.1,0.04,,0.01,-0.19,0.54,0.05,-0.25,0.44,-0.05,0.05,-0.05,,0.31,-0.08,-0.19,0.83,-0.45,-0.43,0.05,-0.54,-0.39,0.03,-0.1,0.45,0.16,-0.39,0.42,0.13,0.23
"YAL017W",0.29,-0.4,-0.09,-0.32,-0.4,-0.22,0.19,-0.2,-0.09,0.41,0.13,-0.05,-0.29,0.06,-0.16,0.17,-0.32,0.13,0.18,0.21,0.23,,,-0.69,-0.56,0.03,0.71,-0.14,0.1,-0.15,-0.04,-0.15,-0.18,-0.12,0.34,0.07,0.16,-0.11,0.4,-0.36,0.3,0.31,0.41,-0.01,-0.25,-0.08,,-1.15,-0.85,-0.56,0.52,-0.26,0.08,-0.11,-0.19,0.29,0.64,0.63,0.63,0.21,,-0.32,0.46,1.18,-0.13,-0.07,-0.13,-0.55,-0.66,-0.34,-0.09,0.15,0.08,-0.25,0.42,0.34,0.03
"YAL018C",-0.29,,-0.42,-0.01,0.46,0.28,0.16,-1.72,0.33,0.05,0.22,0.3,0,0.22,-0.15,-0.06,0.11,-0.47,0.22,0.05,-0.15,0.16,-0.36,0.61,0.23,-0.57,0.54,-0.86,0.59,-0.17,0.31,-0.17,0.39,,0.29,,0.81,-1.06,,-0.15,1.04,0.54,,-0.96,-0.17,-0.86,1.24,0.43,0.38,0.09,-0.12,-0.7,-0.04,-0.15,-0.23,-0.45,0.21,-0.76,0.06,0.46,-0.4,0.21,-0.23,-0.24,1.13,0.07,0.47,0.34,-0.15,-0.29,-0.24,-0.08,-0.52,-0.15,-0.22,-0.49,0.36
"YAL019W",0.26,-0.17,-0.23,-0.12,-0.24,-0.95,-0.23,0.12,-0.02,0.23,-0.11,0.11,0,0.16,0.19,0.35,0.02,0.14,-0.14,0.07,0.23,0.09,,0.36,0.06,-0.18,0.11,0.09,0.22,0.07,0.07,0.32,-0.07,-0.28,-0.35,-0.2,-0.08,-0.05,0.09,-0.42,0.42,0.52,0.42,-0.42,-0.2,-0.51,0.18,0.06,0.44,-0.23,0.36,-0.29,0.41,0.28,-0.1,0.16,-0.03,0.03,-0.12,,-0.33,-0.75,-0.06,-0.93,-0.13,-0.11,0.23,0.77,0.42,0.22,0.15,0.06,0.34,-0.11,-0.26,-0.36,-0.28
"YAL020C",0.44,-0.51,-0.22,0.15,-0.02,-0.29,-0.07,-0.22,-0.06,-0.07,0.2,0.2,0.11,0.03,-0.33,0.27,-0.15,0.03,-0.83,1.09,0.11,0.01,-0.38,-0.42,-0.28,-0.15,0.16,-0.12,0.26,0,0.13,-0.2,-0.07,-0.05,0.43,0.07,0.61,-0.2,0.49,-0.43,0.8,-0.47,1.01,-0.36,-0.45,-0.38,0.94,-0.18,0.46,0.1,0.16,-0.75,0.03,-0.01,-0.32,0.29,-0.18,0.07,-0.27,0.01,-0.16,-0.32,0.14,-0.11,0.02,-0.36,-0.11,0.48,-0.2,0.27,0.29,-0.34,-0.05,0.23,0.08,-0.45,0.25
"YAL021C",0.26,-0.58,0.06,-0.25,-0.11,-0.17,-0.16,0.04,0.1,-0.02,0.08,0.13,-0.17,-0.12,-0.06,0.17,0.08,0.02,0.29,0.2,-0.21,-0.07,,0.17,0.22,-0.09,0.19,-0.17,0.16,-0.12,0.25,-0.05,-0.14,-0.42,0.19,-0.03,0.25,-0.2,0.17,-0.48,0.58,0.11,0.48,-0.38,-0.2,-0.52,-0.12,-0.27,0.13,-0.16,0.2,-0.57,0.35,0,0,0.18,0.1,0.22,0.16,,0.16,-0.19,-0.21,-0.04,-0.1,-0.07,0.22,0,-0.09,0.37,-0.1,0.15,0.29,-0.39,0.04,-0.09,-0.2
"YAL022C",-0.22,-0.86,-0.25,0.89,-0.36,-0.42,0.29,-0.14,-0.19,-0.52,0.04,0.04,0.37,0.24,0.13,0.22,0.04,-0.24,-0.22,-0.1,0.22,0.61,0.13,-0.24,-0.59,-0.57,-0.09,-0.34,0.49,0.32,1.15,0.2,0.31,-0.28,-0.01,-0.48,-0.4,-0.59,0.54,-0.09,1.03,0.08,0.57,-0.26,-0.36,-0.55,-0.63,-0.66,-0.24,-0.82,-0.84,-0.89,0.57,0.64,0.54,0.66,0.28,-0.01,-0.26,0.11,,0.71,0.81,-1.16,-0.71,-0.71,-0.24,-0.75,-0.11,-0.42,-0.01,0.53,0.58,1.49,0.72,0.51,0.29
"YAL023C",0.98,1.33,-0.27,-0.29,-0.57,-1.12,-0.21,0.1,0.63,0.41,0.35,0.02,-0.21,-0.3,-0.1,0.14,0.11,0.26,0.4,0.18,0.14,-0.26,,-0.35,-0.06,0.04,0.43,-0.03,-0.01,-0.43,-0.03,-0.23,-0.06,0.14,0.43,0.06,0.27,-0.18,0.54,-0.3,0.44,-0.14,0.21,-0.43,0.26,-0.57,-0.54,-0.1,0.59,0.14,0.14,-0.33,0.24,-0.1,-0.42,0.34,0.09,0.2,0.09,,0.23,-0.17,-0.39,-1.15,-0.83,-0.76,-0.32,0.17,0.17,0.49,0.64,0.53,0.58,-0.03,0.49,0.04,-0.03
"YAL024C",1.03,-0.51,-0.36,0.23,-0.19,0.04,-0.03,0.56,0.19,-0.22,0.29,-0.08,0.09,0.03,-0.17,-0.19,-0.09,-0.19,0.32,0.01,-0.17,-0.21,-0.48,-0.08,-0.23,0.62,0.47,-0.12,-0.44,0.74,0.28,0.51,-0.19,0.58,0.82,0.88,-0.3,-0.19,,0.07,-0.44,-0.66,-0.15,-1.23,0.37,-0.84,-0.59,-0.01,0.41,0.2,0.5,0.59,0.54,0.14,-0.12,-0.08,-0.19,0.05,0.22,-0.24,,-0.71,-0.73,0.34,-0.32,-0.13,-0.13,0.1,0.4,0.26,-0.01,0.16,0.1,-0.13,-0.01,-0.53,-0.11
"YAL025C",-0.74,-0.54,0.18,0.1,0.17,-1.51,-0.6,-0.42,0.21,0.15,0.2,0.69,0.32,0.05,0.15,-0.12,0.09,0.03,-0.23,0.13,0.45,0.23,,1.04,0.62,-0.04,-0.66,0.45,-0.12,0.52,-0.71,0.46,-0.59,0.07,-0.97,0,-0.97,0.59,-0.4,0.24,-0.38,0.74,-0.94,0.61,0.03,0.42,-0.84,0.36,0.5,-0.26,0.27,-0.06,0.77,0.3,-0.26,0.13,-0.31,-0.21,-0.13,,0.06,-0.48,0.15,-1.01,-0.39,0.03,0.58,1.12,0.58,0.18,0.18,-0.11,0.25,-0.13,-0.62,-0.34,-0.32
"YAL026C",-0.18,-1.03,-0.45,0.18,0.06,0.03,-0.16,-0.41,0.06,-0.56,0.04,0.13,-0.06,0.39,-0.28,0.37,0.04,-0.01,-0.21,0.61,-0.24,0.19,-0.21,-0.23,-0.16,-0.14,0.7,-0.43,0.32,-0.16,0.59,-0.18,0.37,-0.31,0.54,-0.76,0.37,,0.1,-0.37,0.49,0.46,0.04,-0.29,-0.35,-0.39,-0.31,-0.5,-0.08,,0.12,-0.3,0.55,0.01,-0.02,0.43,-0.03,-0.04,0.31,,0.15,-0.17,-0.11,-0.64,-0.51,,0.18,-0.09,-0.17,0.15,-0.05,0.4,0.8,-0.11,0.25,-0.59,0.39
"YAL027W",-0.32,-0.4,-0.25,-0.56,0.11,-0.22,0.1,-0.33,0.12,-0.15,0.05,0.15,0.15,-0.31,0.27,0.27,-0.05,-0.43,-0.17,0.39,-0.2,0.23,,,,-0.56,0.05,-0.47,0.13,-0.37,0.14,-0.01,0.06,-0.22,-0.03,0.18,0.48,,-0.24,-0.03,0.47,0.24,0.26,-0.09,,,0.55,-0.49,-0.13,-0.17,0.17,-0.51,0.43,0.27,0.01,-0.31,-0.08,0.08,0.05,-0.16,,0.01,0.28,0.4,-0.2,-0.1,-0.02,-0.32,-0.25,-0.18,0.17,0.11,-0.1,0.06,0.11,0.08,0.23
"YAL028W",-0.45,0.52,-0.01,-0.62,-0.29,-0.44,0.09,0.28,0.33,0.58,0.07,0.14,-0.25,-0.77,0.12,0.22,-0.26,-0.11,0.07,0.66,-0.26,-0.17,,,,-0.82,0.07,-0.7,-0.18,-1.45,0.2,-0.7,0.39,-0.3,0.51,-0.1,0.26,,0.45,0.02,1.05,0.45,0.79,0.09,,,,-1.87,-0.65,0.35,0.63,-0.17,0.57,-0.1,0.22,-0.25,0.47,0.54,0.35,0,-0.06,0,-0.03,0.76,-0.38,-0.15,-0.1,0.07,-0.31,-0.04,0.06,0.22,-0.03,-0.15,0.1,0.07,-0.12
"YAL029C",0.11,-0.86,-0.22,-0.03,0.04,-0.24,-0.21,-0.23,-0.12,-0.31,-0.06,0.07,0.11,0.46,-0.62,0.29,-0.09,0,-0.28,0.63,0.19,0.38,-0.26,-0.4,-0.13,-0.19,0.4,-0.54,0.17,-0.09,0.58,-0.36,0.29,-0.58,0.62,-0.06,0.26,,0.46,-0.22,0.45,0.41,0.43,-0.46,-0.42,-0.34,-0.15,-0.03,-0.5,-0.49,0.21,-0.43,0.33,0.2,-0.14,0.26,0.2,0.2,-0.12,,0.14,0.19,0.14,-0.74,-0.25,,0.14,0.03,-0.05,0.49,-0.14,0.05,0.48,0.13,0.2,-0.52,0.19
"YAL030W",-0.74,-0.51,-0.07,-0.32,-0.13,-0.32,0.03,-0.05,0.12,0.11,-0.12,0.21,-0.02,-0.19,-0.03,0.32,-0.21,-0.24,0.11,0.32,-0.01,0.1,,,,,,,,,,0.32,,,,-0.32,,,,,,,,,,,0.34,-0.42,-0.34,-0.53,0.01,-0.76,0.29,-0.24,-0.32,0.85,0.17,0.18,,0.16,0.49,0.19,-0.07,0.73,-0.11,0.09,0.25,0.24,-0.24,-0.05,-0.05,-0.08,-0.35,0.03,-0.11,-0.29,-0.05
"YAL031C",-0.14,-0.23,-0.25,0.1,-0.12,0.7,-0.5,-0.39,-0.15,-0.41,0.03,0.13,-0.08,0.18,-0.15,0.14,-0.1,0.1,-0.52,0.65,0.16,0.34,-0.63,-0.37,-0.3,-0.15,0.33,-0.41,-0.17,-0.2,0.62,-0.37,0.36,-0.41,0.39,-0.08,0.63,,-0.17,-0.28,0.29,0.71,0.74,-0.11,-0.09,-0.3,0.29,-0.62,-0.23,-0.19,0.07,-0.46,0.14,-0.1,-0.1,0.36,-0.04,-0.01,0.14,,0.26,0.41,0.07,0.45,-0.03,,-0.18,-0.47,-0.37,0.33,-0.17,-0.06,0.17,-0.13,0.19,-0.15,0.42
"YAL032C",-0.23,-0.6,0.31,-0.18,-0.23,0.06,-0.12,-0.04,-0.26,-0.12,0.02,0.15,-0.08,-0.12,0.02,0.7,-0.15,-0.15,0.03,0.33,-0.08,0.02,,,,-0.24,-0.05,-0.07,0.09,-0.21,0.15,0.06,0.04,-0.18,-0.49,-0.13,-0.06,,0.13,0.21,0.43,0.32,0.09,-0.09,,,-0.48,-0.27,-0.21,-0.35,0.4,-0.18,0.41,0.47,0.19,0.39,-0.02,0.09,-0.12,-0.44,-0.25,0.16,0.22,0.61,-0.14,-0.02,0,0.23,-0.14,-0.02,0.17,-0.05,-0.29,-0.23,0.06,-0.12,-0.05
"YAL033W",-0.47,-0.58,-0.14,0.06,-0.38,,-0.23,-0.17,-0.31,-0.16,0.07,0.4,0,0.26,-0.29,0.24,0.1,0.08,-0.44,0.23,0.31,0.29,-0.27,0.19,0.09,-0.2,0.52,-0.4,0.38,-0.82,0.11,-0.46,0.08,-0.37,0.06,-0.13,0.52,,0.26,-0.14,0.47,0.84,0.65,-0.75,-0.5,-0.16,-0.29,-0.04,0.32,-0.01,0.17,-0.47,0.45,0.26,-0.08,-0.06,-0.29,-0.12,-0.28,,0.34,-0.2,0.29,0.12,-0.22,,0.49,0.05,0.15,0.15,0.08,-0.32,-0.08,0.18,-0.05,-0.49,-0.06
"YAL034C",-0.43,-0.71,-0.45,0.01,-0.54,1.04,0.05,-0.31,-0.27,-0.27,0.19,-0.38,0,0.3,-0.09,-0.02,0.58,-0.51,0.03,0.14,-0.27,0.33,-0.46,-0.11,0,-0.03,0.57,-0.36,0.35,-0.92,0.59,-0.49,0.2,-0.28,0.54,-0.16,0.68,,0.22,-0.34,0.41,0.41,0.5,-0.44,-0.51,-0.37,0.27,-0.37,-0.18,-0.01,0.44,0.15,0.47,0.39,0.08,-0.14,-0.14,-0.04,0.21,-0.22,0.05,0.05,-1.01,1.14,0.11,-0.68,0,-0.29,-0.36,-0.19,0.07,0.07,0.01,-0.25,0.1,0.07,0.19
"YAL035C-A",0.77,,,-0.06,,,,,,,,,,,,,,,,,,,-0.11,0.29,-0.04,0.32,,-0.19,,-0.34,0.68,0.11,-0.34,,0.1,0.22,1.03,-0.29,,-0.04,,,,-0.6,-0.36,-0.45,-0.7,0.27,0.38,0.05,0.45,-0.12,0.25,0,-0.35,0.23,0.38,0.51,0.38,0.25,-0.28,-1.46,-0.24,,,,,,,,,,,,,,
"YAL035W",0.06,-0.06,-0.14,0.14,-0.35,-0.91,-0.6,-0.32,-0.22,0.17,-0.15,0.2,0.13,-0.13,0.56,0.52,-0.23,0.02,0.5,0.69,-0.22,0.34,,,,-0.2,0.17,-0.36,0.21,-0.48,0.09,-0.22,0.14,1.29,-0.2,-0.22,-0.28,,-0.1,-0.24,0.42,1.92,-0.32,-1.63,,,-0.88,0.1,0.53,-0.24,0,-0.18,0.43,0.07,-0.17,0.58,-0.12,-0.07,-0.02,,0.25,-0.33,0.02,-0.51,-0.08,-0.15,0.36,0.43,0.36,0.25,0.12,-0.05,0.04,-0.05,-0.14,-0.27,-0.3
"YAL036C",-1.06,-0.49,-0.29,0.21,0.04,-0.78,-0.4,-0.6,-0.1,-0.35,0.46,-0.08,0.39,0.13,0.11,0.09,0.28,0.2,0.16,-0.02,0.25,0.22,0.83,0.75,0.33,0.1,-0.27,0.45,0.62,0.32,-0.6,0.27,-0.27,0.21,-0.4,-0.11,-0.55,0.24,-0.19,0.27,-0.5,-0.47,-0.83,0.05,-0.19,-0.11,0.01,0.04,0.66,,0.18,-0.47,0.27,0.01,-0.3,0.39,-0.35,-0.15,-0.14,0.12,,-0.28,0.01,-1.22,-0.44,-0.49,0.53,0.83,0.25,0.48,-0.05,0.24,0.46,-0.24,-0.18,-0.37,0.2
"YAL037W",0.11,-1.09,-0.6,-0.29,0.07,-0.24,0.18,0.08,0.27,0.16,0.05,0.08,-0.08,-0.03,-0.15,-0.06,-0.15,-0.06,-0.24,0.02,0.05,0.05,,0.31,0.17,-0.37,1.04,-0.22,0.85,-0.79,0.64,-0.27,-0.09,-0.47,0.21,-0.92,0.81,-0.34,0.49,-0.55,1.05,0.27,0.63,-1.22,-0.55,-0.68,1.11,-0.13,0.56,0.02,0.08,-0.47,0.16,-0.18,-0.31,-0.92,0.08,0.16,0.25,-0.11,0,-0.06,-0.25,-0.14,-0.11,0.18,-0.16,0.29,0.08,-0.11,0,0.2,0.14,0.1,-0.07,-0.32,-0.09
"YAL038W",-0.34,-0.81,-0.06,0.49,-0.07,-0.56,-0.21,-0.18,-0.1,-0.4,0.13,-0.1,0.14,0.26,-0.1,0.06,-0.07,0.13,0.21,0.33,0.05,0.47,-0.72,-0.65,-0.6,-0.2,-0.13,0.33,-0.53,0.26,-0.18,0.35,0.18,0.34,0.28,0.16,0.15,0.11,0.57,0.32,0.23,0.19,-0.29,-0.02,-0.07,-0.08,0.23,-0.42,0.35,-0.06,0.65,-0.68,0.28,0.05,-0.45,,-2.69,0.49,-0.17,0.41,0.76,0.5,0.74,-0.64,-0.35,0.06,0.74,0.38,0.01,0.43,-0.07,0.21,0.04,-0.86,-0.35,0.19,0.2
"YAL039C",-1.18,-0.97,-0.43,0.11,0.36,-0.02,0.19,-0.45,0.06,0.23,-0.13,-0.08,0.17,0.13,0.09,-0.16,-0.18,-0.41,0.21,0.04,0.09,-0.15,0.74,0.34,-0.24,-0.14,-1.22,-0.16,-0.21,0.2,-0.47,0.35,0.11,0.52,-0.48,-0.13,-0.26,-0.03,-0.2,0.11,-0.05,0.34,-0.41,0.52,0.29,0.43,0.83,0.1,-0.31,-0.49,0.06,-0.67,-0.01,0,-0.1,0.68,0.33,0.13,-0.29,,-0.23,-0.33,0.33,-0.2,-0.1,-0.55,0.32,0.13,-0.34,-0.55,0.1,0.25,0.18,-0.05,0.27,0.49,0.04
