Rank	 Gene_Name	 Estimated_Lhat	 BF	 L2-norm	 Nmiss
38	 G22201	 0	 3.464722e-27	 4.194807e+03	 0
39	 G21202	 0	 3.500444e-27	 4.195652e+03	 0
40	 G18213	 0	 3.591192e-27	 4.191639e+03	 0
41	 G16357	 0	 3.769620e-27	 4.184751e+03	 0
42	 G22630	 0	 3.831832e-27	 4.183649e+03	 0
43	 G8291	 0	 4.090386e-27	 4.176296e+03	 0
44	 G850	 0	 4.310363e-27	 4.167274e+03	 0
45	 G21207	 0	 4.464102e-27	 4.163190e+03	 0
46	 G13532	 0	 4.481327e-27	 4.162617e+03	 0
47	 G6670	 0	 4.567050e-27	 4.160244e+03	 0
48	 G550	 0	 4.630014e-27	 4.158032e+03	 0
49	 G14455	 0	 4.843389e-27	 4.152684e+03	 0
50	 G15327	 0	 4.866157e-27	 4.151339e+03	 0
51	 G6808	 0	 5.016596e-27	 4.147644e+03	 0
52	 G11895	 0	 5.145934e-27	 4.144584e+03	 0
53	 G16221	 0	 5.161037e-27	 4.144480e+03	 0
54	 G16851	 0	 5.225122e-27	 4.143746e+03	 0
55	 G9378	 0	 5.256742e-27	 4.141352e+03	 0
56	 G22227	 0	 5.471702e-27	 4.136434e+03	 0
57	 G21497	 0	 5.514079e-27	 4.136022e+03	 0
58	 G21463	 0	 5.622577e-27	 4.134924e+03	 0
59	 G14789	 0	 5.630618e-27	 4.132890e+03	 0
60	 G6867	 0	 5.661952e-27	 4.138774e+03	 0
61	 G1946	 0	 5.791634e-27	 4.129710e+03	 0
62	 G14920	 0	 5.800457e-27	 4.129000e+03	 0
63	 G207	 0	 6.077576e-27	 4.123268e+03	 0
64	 G10855	 0	 6.101042e-27	 4.123482e+03	 0
65	 G405	 0	 6.136425e-27	 4.122136e+03	 0
66	 G11003	 0	 6.215126e-27	 4.125021e+03	 0
67	 G3695	 0	 6.268385e-27	 4.119409e+03	 0
68	 G15170	 0	 6.344563e-27	 4.117647e+03	 0
69	 G10854	 0	 6.496548e-27	 4.115798e+03	 0
70	 G110	 0	 6.523033e-27	 4.114335e+03	 0
71	 G273	 0	 6.572169e-27	 4.112768e+03	 0
72	 G21603	 0	 6.577453e-27	 4.114264e+03	 0
73	 G21541	 0	 6.666417e-27	 4.111328e+03	 0
74	 G15216	 0	 7.196545e-27	 4.102511e+03	 0
75	 G18435	 0	 7.231827e-27	 4.101167e+03	 0
76	 G21503	 0	 7.420062e-27	 4.097831e+03	 0
77	 G419	 0	 7.456935e-27	 4.098406e+03	 0
78	 G21488	 0	 7.596591e-27	 4.099586e+03	 0
79	 G14732	 0	 7.639201e-27	 4.093356e+03	 0
80	 G18903	 0	 7.749274e-27	 4.101717e+03	 0
81	 G3354	 0	 7.927935e-27	 4.091272e+03	 0
82	 G385	 0	 7.985606e-27	 4.088169e+03	 0
83	 G8041	 0	 8.206541e-27	 4.087316e+03	 0
84	 G8195	 0	 8.655300e-27	 4.081775e+03	 0
85	 G8050	 0	 8.732420e-27	 4.077213e+03	 0
86	 G607	 0	 8.805615e-27	 4.075593e+03	 0
87	 G237	 0	 8.840595e-27	 4.075816e+03	 0
88	 G1782	 0	 8.935908e-27	 4.075090e+03	 0
89	 G3422	 0	 8.953954e-27	 4.078045e+03	 0
90	 G2093	 0	 9.253349e-27	 4.069569e+03	 0
91	 G21025	 0	 9.324590e-27	 4.069667e+03	 0
92	 G1783	 0	 9.418669e-27	 4.066939e+03	 0
93	 G14437	 0	 9.486406e-27	 4.070248e+03	 0
94	 G15328	 0	 9.490724e-27	 4.066691e+03	 0
95	 G13092	 0	 9.525132e-27	 4.066154e+03	 0
96	 G1050	 0	 9.564671e-27	 4.065285e+03	 0
97	 G14459	 0	 9.611756e-27	 4.065736e+03	 0
98	 G15094	 0	 9.659717e-27	 4.064369e+03	 0
99	 G7958	 0	 1.032358e-26	 4.056046e+03	 0
100	 G17435	 0	 1.039239e-26	 4.055281e+03	 0
101	 G47	 0	 1.054075e-26	 4.055663e+03	 0
102	 G22375	 0	 1.063043e-26	 4.051997e+03	 0
103	 G21720	 0	 1.081786e-26	 4.052091e+03	 0
104	 G22183	 0	 1.084372e-26	 4.049906e+03	 0
105	 G14587	 0	 1.125476e-26	 4.048159e+03	 0
106	 G14876	 0	 1.157390e-26	 4.041590e+03	 0
107	 G16325	 0	 1.160042e-26	 4.047309e+03	 0
108	 G3353	 0	 1.171612e-26	 4.040919e+03	 0
109	 G22631	 0	 1.188865e-26	 4.043367e+03	 0
110	 G22646	 0	 1.209208e-26	 4.038886e+03	 0
111	 G735	 0	 1.211346e-26	 4.035547e+03	 0
112	 G22647	 0	 1.227566e-26	 4.037153e+03	 0
113	 G12363	 0	 1.232631e-26	 4.032844e+03	 0
114	 G14997	 0	 1.254655e-26	 4.032185e+03	 0
115	 G20752	 0	 1.271923e-26	 4.028971e+03	 0
116	 G6979	 0	 1.272658e-26	 4.032167e+03	 0
117	 G16269	 0	 1.284788e-26	 4.027966e+03	 0
118	 G17308	 0	 1.289963e-26	 4.029819e+03	 0
119	 G19164	 0	 1.305553e-26	 4.027562e+03	 0
120	 G420	 0	 1.320807e-26	 4.024449e+03	 0
121	 G14833	 0	 1.328866e-26	 4.025530e+03	 0
122	 G16920	 0	 1.401775e-26	 4.018514e+03	 0
123	 G15624	 0	 1.431885e-26	 4.015840e+03	 0
124	 G18696	 0	 1.468492e-26	 4.024035e+03	 0
125	 G21934	 0	 1.488622e-26	 4.013971e+03	 0
126	 G877	 0	 1.493551e-26	 4.009567e+03	 0
127	 G22484	 0	 1.546213e-26	 4.005661e+03	 0
128	 G7138	 0	 1.578457e-26	 4.015793e+03	 0
129	 G21963	 0	 1.583304e-26	 4.003999e+03	 0
130	 G14270	 0	 1.628886e-26	 3.997908e+03	 0
131	 G7422	 0	 1.631267e-26	 4.008532e+03	 0
132	 G357	 0	 1.645384e-26	 3.998429e+03	 0
133	 G21278	 0	 1.646492e-26	 3.997958e+03	 0
134	 G751	 0	 1.660474e-26	 3.996472e+03	 0
135	 G12070	 0	 1.705853e-26	 3.994169e+03	 0
136	 G17367	 0	 1.716744e-26	 3.994613e+03	 0
137	 G574	 0	 1.794408e-26	 3.988861e+03	 0
138	 G784	 0	 1.823507e-26	 3.984290e+03	 0
139	 G13507	 0	 1.831251e-26	 3.988212e+03	 0
140	 G21021	 0	 1.850094e-26	 3.984913e+03	 0
141	 G352	 0	 1.897451e-26	 3.985669e+03	 0
142	 G4818	 0	 1.927209e-26	 3.978094e+03	 0
143	 G17355	 0	 1.948227e-26	 3.976313e+03	 0
144	 G3214	 0	 1.961155e-26	 3.975702e+03	 0
145	 G22645	 0	 1.980982e-26	 3.977138e+03	 0
146	 G21566	 0	 1.985299e-26	 3.975317e+03	 0
147	 G15676	 0	 2.026565e-26	 3.973524e+03	 0
148	 G10856	 0	 2.074151e-26	 3.968508e+03	 0
149	 G6818	 0	 2.132628e-26	 3.964757e+03	 0
150	 G13878	 0	 2.144107e-26	 3.969709e+03	 0
151	 G310	 0	 2.156208e-26	 3.962620e+03	 0
152	 G15573	 0	 2.248336e-26	 3.961492e+03	 0
153	 G21311	 0	 2.270739e-26	 3.959377e+03	 0
154	 G1648	 0	 2.428487e-26	 3.948694e+03	 0
155	 G22632	 0	 2.482855e-26	 3.949467e+03	 0
156	 G10357	 0	 2.516323e-26	 3.946814e+03	 0
157	 G19131	 0	 2.580360e-26	 3.941944e+03	 0
158	 G15594	 0	 2.734348e-26	 3.936732e+03	 0
159	 G21489	 0	 3.077765e-26	 3.919204e+03	 0
160	 G14581	 0	 3.203114e-26	 3.913640e+03	 0
161	 G20948	 0	 3.439180e-26	 3.907350e+03	 0
162	 G13674	 0	 3.467615e-26	 3.906758e+03	 0
163	 G16958	 0	 3.591631e-26	 3.900298e+03	 0
164	 G430	 0	 3.593731e-26	 3.898974e+03	 0
165	 G1093	 0	 3.777796e-26	 3.893263e+03	 0
166	 G10159	 0	 3.848473e-26	 3.905471e+03	 0
167	 G13659	 0	 4.114702e-26	 3.882822e+03	 0
168	 G16542	 0	 4.323801e-26	 3.876662e+03	 0
169	 G11253	 0	 4.380892e-26	 3.878588e+03	 0
170	 G22500	 0	 4.419796e-26	 3.876563e+03	 0
171	 G14486	 0	 4.759254e-26	 3.866759e+03	 0
172	 G1695	 0	 5.352926e-26	 3.850473e+03	 0
173	 G15529	 0	 5.565091e-26	 3.852211e+03	 0
174	 G12587	 0	 5.606804e-26	 3.854578e+03	 0
175	 G14760	 0	 5.757359e-26	 3.845732e+03	 0
176	 G14151	 0	 5.791996e-26	 3.843096e+03	 0
177	 G16364	 0	 5.802027e-26	 3.842985e+03	 0
178	 G19373	 0	 6.014446e-26	 3.853025e+03	 0
179	 G14420	 0	 6.608484e-26	 3.824830e+03	 0
180	 G20963	 0	 6.661366e-26	 3.830755e+03	 0
181	 G16254	 0	 6.688381e-26	 3.823076e+03	 0
182	 G21634	 0	 6.976364e-26	 3.820019e+03	 0
183	 G17044	 0	 7.021588e-26	 3.835617e+03	 0
184	 G13658	 0	 7.205271e-26	 3.818265e+03	 0
185	 G22680	 0	 7.463014e-26	 3.842678e+03	 0
186	 G14823	 0	 7.595334e-26	 3.813767e+03	 0
187	 G6783	 0	 7.686975e-26	 3.822350e+03	 0
188	 G243	 0	 7.799625e-26	 3.803676e+03	 0
189	 G14158	 0	 7.894429e-26	 3.815207e+03	 0
190	 G13437	 0	 7.962370e-26	 3.811924e+03	 0
191	 G20771	 0	 8.052323e-26	 3.819571e+03	 0
192	 G21748	 0	 8.242769e-26	 3.799809e+03	 0
193	 G16827	 0	 8.362260e-26	 3.801505e+03	 0
194	 G8931	 0	 8.481724e-26	 3.793512e+03	 0
195	 G16456	 0	 8.918612e-26	 3.788281e+03	 0
196	 G12674	 0	 9.066829e-26	 3.788364e+03	 0
197	 G21908	 0	 9.215023e-26	 3.790689e+03	 0
198	 G14099	 0	 9.817576e-26	 3.786137e+03	 0
199	 G18681	 0	 1.017509e-25	 3.779093e+03	 0
200	 G12502	 0	 1.029581e-25	 3.773486e+03	 0
201	 G11599	 0	 1.080351e-25	 3.765914e+03	 0
202	 G16868	 0	 1.088047e-25	 3.770431e+03	 0
203	 G7650	 0	 1.121583e-25	 3.768675e+03	 0
204	 G587	 0	 1.123085e-25	 3.764390e+03	 0
205	 G19533	 0	 1.131028e-25	 3.759387e+03	 0
206	 G13033	 0	 1.196105e-25	 3.757248e+03	 0
207	 G1704	 0	 1.233522e-25	 3.762383e+03	 0
208	 G353	 0	 1.284896e-25	 3.743844e+03	 0
209	 G21612	 0	 1.334627e-25	 3.742446e+03	 0
210	 G851	 0	 1.347282e-25	 3.738201e+03	 0
211	 G14765	 0	 1.354208e-25	 3.741617e+03	 0
212	 G22652	 0	 1.550958e-25	 3.724915e+03	 0
213	 G12887	 0	 1.555580e-25	 3.720421e+03	 0
214	 G13596	 0	 1.595337e-25	 3.717059e+03	 0
215	 G5015	 0	 1.677203e-25	 3.710615e+03	 0
216	 G1748	 0	 1.734712e-25	 3.707830e+03	 0
217	 G16809	 0	 1.846405e-25	 3.701242e+03	 0
218	 G21628	 0	 1.864571e-25	 3.700049e+03	 0
219	 G13483	 0	 2.056829e-25	 3.709673e+03	 0
220	 G13936	 0	 2.060267e-25	 3.691937e+03	 0
221	 G17130	 0	 2.064543e-25	 3.685357e+03	 0
222	 G274	 0	 2.142656e-25	 3.682898e+03	 0
223	 G1138	 0	 2.368459e-25	 3.669949e+03	 0
224	 G2604	 0	 2.390453e-25	 3.671428e+03	 0
225	 G4966	 0	 2.464420e-25	 3.686522e+03	 0
226	 G12341	 0	 2.467188e-25	 3.666611e+03	 0
227	 G631	 0	 2.847271e-25	 3.649253e+03	 0
228	 G8464	 0	 2.888992e-25	 3.650453e+03	 0
229	 G15345	 0	 2.894971e-25	 3.673770e+03	 0
230	 G331	 0	 3.123907e-25	 3.636876e+03	 0
231	 G6435	 0	 3.127814e-25	 3.654695e+03	 0
232	 G6855	 0	 3.148777e-25	 3.639428e+03	 0
233	 G170	 0	 3.162054e-25	 3.648912e+03	 0
234	 G1639	 0	 3.164853e-25	 3.642250e+03	 0
235	 G746	 0	 3.406881e-25	 3.641117e+03	 0
236	 G602	 0	 3.571455e-25	 3.624571e+03	 0
237	 G2195	 0	 3.577998e-25	 3.626162e+03	 0
238	 G22681	 0	 3.613382e-25	 3.659352e+03	 0
239	 G21537	 0	 3.632542e-25	 3.624750e+03	 0
240	 G102	 0	 3.727656e-25	 3.630668e+03	 0
241	 G21998	 0	 3.745339e-25	 3.616399e+03	 0
242	 G1160	 0	 3.897734e-25	 3.611581e+03	 0
243	 G4068	 0	 3.905610e-25	 3.638623e+03	 0
244	 G14762	 0	 4.060475e-25	 3.606968e+03	 0
245	 G1000	 0	 4.194454e-25	 3.604473e+03	 0
246	 G7837	 0	 4.798663e-25	 3.590481e+03	 0
247	 G1670	 0	 4.816384e-25	 3.593590e+03	 0
248	 G22027	 0	 5.129852e-25	 3.582866e+03	 0
249	 G15638	 0	 5.168664e-25	 3.575703e+03	 0
250	 G20348	 0	 5.358980e-25	 3.574649e+03	 0
251	 G2043	 0	 5.416918e-25	 3.604666e+03	 0
252	 G21226	 0	 5.579752e-25	 3.569573e+03	 0
253	 G1080	 0	 5.731327e-25	 3.564627e+03	 0
254	 G16331	 0	 5.760703e-25	 3.567102e+03	 0
255	 G14848	 0	 5.784946e-25	 3.570550e+03	 0
256	 G112	 0	 5.900188e-25	 3.569681e+03	 0
257	 G16230	 0	 5.916889e-25	 3.573810e+03	 0
258	 G7274	 0	 6.001907e-25	 3.561378e+03	 0
259	 G666	 0	 6.025296e-25	 3.560436e+03	 0
260	 G16434	 0	 6.039779e-25	 3.557493e+03	 0
261	 G450	 0	 6.076397e-25	 3.560981e+03	 0
262	 G7967	 0	 6.356696e-25	 3.558493e+03	 0
263	 G6503	 0	 6.533703e-25	 3.562780e+03	 0
264	 G14787	 0	 6.741576e-25	 3.543376e+03	 0
265	 G1301	 0	 6.757904e-25	 3.550442e+03	 0
266	 G20888	 0	 6.782303e-25	 3.622231e+03	 0
267	 G7737	 0	 6.885340e-25	 3.606913e+03	 0
268	 G575	 0	 7.000831e-25	 3.546421e+03	 0
269	 G16294	 0	 7.291825e-25	 3.550033e+03	 0
270	 G6690	 0	 7.297057e-25	 3.544546e+03	 0
271	 G12962	 0	 7.317572e-25	 3.547424e+03	 0
272	 G2331	 0	 7.554397e-25	 3.538240e+03	 0
273	 G21421	 0	 7.755508e-25	 3.532832e+03	 0
274	 G21909	 0	 8.441947e-25	 3.534953e+03	 0
275	 G934	 0	 8.473799e-25	 3.521419e+03	 0
276	 G13953	 0	 8.607635e-25	 3.517872e+03	 0
277	 G564	 0	 8.760242e-25	 3.514837e+03	 0
278	 G13561	 0	 8.905694e-25	 3.521411e+03	 0
279	 G21656	 0	 9.575931e-25	 3.508989e+03	 0
280	 G7993	 0	 9.795768e-25	 3.505822e+03	 0
281	 G21825	 0	 9.818845e-25	 3.504378e+03	 0
282	 G8212	 0	 1.027032e-24	 3.501377e+03	 0
283	 G14385	 0	 1.041253e-24	 3.499624e+03	 0
284	 G21402	 0	 1.052734e-24	 3.504512e+03	 0
285	 G7244	 0	 1.059936e-24	 3.492847e+03	 0
286	 G10988	 0	 1.071857e-24	 3.493744e+03	 0
287	 G15035	 0	 1.079733e-24	 3.493512e+03	 0
288	 G15441	 0	 1.079791e-24	 3.490904e+03	 0
289	 G245	 0	 1.082646e-24	 3.491059e+03	 0
290	 G15645	 0	 1.085704e-24	 3.493061e+03	 0
291	 G15659	 0	 1.138539e-24	 3.482480e+03	 0
292	 G14490	 0	 1.171784e-24	 3.486920e+03	 0
293	 G7306	 0	 1.176037e-24	 3.483464e+03	 0
294	 G22354	 0	 1.181088e-24	 3.480442e+03	 0
295	 G21816	 0	 1.193982e-24	 3.481840e+03	 0
296	 G5006	 0	 1.199594e-24	 3.476571e+03	 0
297	 G10580	 0	 1.265649e-24	 3.470346e+03	 0
298	 G18988	 0	 1.285845e-24	 3.481242e+03	 0
299	 G19293	 0	 1.328339e-24	 3.473577e+03	 0
300	 G4053	 0	 1.331873e-24	 3.506775e+03	 0
301	 G17742	 0	 1.423865e-24	 3.459677e+03	 0
302	 G18067	 0	 1.455214e-24	 3.479408e+03	 0
303	 G189	 0	 1.487319e-24	 3.459377e+03	 0
304	 G8213	 0	 1.505373e-24	 3.453817e+03	 0
305	 G14129	 0	 1.520503e-24	 3.452348e+03	 0
306	 G21367	 0	 1.523637e-24	 3.461398e+03	 0
307	 G7275	 0	 1.589530e-24	 3.449482e+03	 0
308	 G7563	 0	 1.611491e-24	 3.444516e+03	 0
309	 G1589	 0	 1.677459e-24	 3.437141e+03	 0
310	 G8380	 0	 1.686226e-24	 3.438625e+03	 0
311	 G1455	 0	 1.727044e-24	 3.434232e+03	 0
312	 G15034	 0	 1.752219e-24	 3.444363e+03	 0
313	 G14423	 0	 1.785948e-24	 3.433290e+03	 0
314	 G896	 0	 1.832229e-24	 3.429128e+03	 0
315	 G8002	 0	 1.838359e-24	 3.429518e+03	 0
316	 G695	 0	 1.946628e-24	 3.424060e+03	 0
317	 G3725	 0	 2.006993e-24	 3.422618e+03	 0
318	 G14328	 0	 2.042274e-24	 3.427979e+03	 0
319	 G368	 0	 2.120880e-24	 3.411744e+03	 0
320	 G16724	 0	 2.130851e-24	 3.408526e+03	 0
321	 G15741	 0	 2.163973e-24	 3.408891e+03	 0
322	 G7916	 0	 2.181713e-24	 3.414157e+03	 0
323	 G16318	 0	 2.265128e-24	 3.403424e+03	 0
324	 G21992	 0	 2.333826e-24	 3.400787e+03	 0
325	 G10546	 0	 2.365239e-24	 3.406677e+03	 0
326	 G17698	 0	 2.416438e-24	 3.398524e+03	 0
327	 G15487	 0	 2.471123e-24	 3.397560e+03	 0
328	 G12514	 0	 2.509416e-24	 3.400425e+03	 0
329	 G16234	 0	 2.523333e-24	 3.393432e+03	 0
330	 G15412	 0	 2.525863e-24	 3.404071e+03	 0
331	 G13837	 0	 2.544749e-24	 3.398382e+03	 0
332	 G22455	 0	 2.577421e-24	 3.389116e+03	 0
333	 G14644	 0	 2.639330e-24	 3.391824e+03	 0
334	 G15899	 0	 2.648114e-24	 3.398743e+03	 0
335	 G397	 0	 2.648758e-24	 3.384425e+03	 0
336	 G571	 0	 2.654234e-24	 3.384351e+03	 0
337	 G14864	 0	 2.690356e-24	 3.387321e+03	 0
338	 G10840	 0	 2.814989e-24	 3.451118e+03	 0
339	 G22063	 0	 2.823163e-24	 3.379497e+03	 0
340	 G6742	 0	 2.972565e-24	 3.377462e+03	 0
341	 G20280	 0	 3.016958e-24	 3.391642e+03	 0
342	 G21670	 0	 3.131322e-24	 3.372340e+03	 0
343	 G21501	 0	 3.137216e-24	 3.373521e+03	 0
344	 G16754	 0	 3.212872e-24	 3.364327e+03	 0
345	 G12606	 0	 3.213034e-24	 3.366700e+03	 0
346	 G5947	 0	 3.222150e-24	 3.366410e+03	 0
347	 G22021	 0	 3.253949e-24	 3.362027e+03	 0
348	 G6701	 0	 3.279576e-24	 3.370887e+03	 0
349	 G2156	 0	 3.286585e-24	 3.363119e+03	 0
350	 G14210	 0	 3.361187e-24	 3.362502e+03	 0
351	 G22640	 0	 3.376772e-24	 3.402909e+03	 0
352	 G7449	 0	 3.441387e-24	 3.367955e+03	 0
353	 G14983	 0	 3.465503e-24	 3.351480e+03	 0
354	 G21058	 0	 3.485429e-24	 3.355268e+03	 0
355	 G21692	 0	 3.490356e-24	 3.376057e+03	 0
356	 G17278	 0	 3.593611e-24	 3.365253e+03	 0
357	 G15546	 0	 3.600451e-24	 3.350030e+03	 0
358	 G13579	 0	 3.779486e-24	 3.342237e+03	 0
359	 G16554	 0	 3.905605e-24	 3.339956e+03	 0
360	 G15582	 0	 4.019825e-24	 3.343536e+03	 0
361	 G20785	 0	 4.100419e-24	 3.345207e+03	 0
362	 G17094	 0	 4.147809e-24	 3.400224e+03	 0
363	 G16265	 0	 4.177649e-24	 3.334101e+03	 0
364	 G11216	 0	 4.190394e-24	 3.334932e+03	 0
365	 G14106	 0	 4.278663e-24	 3.338503e+03	 0
366	 G1252	 0	 4.304255e-24	 3.338205e+03	 0
367	 G19268	 0	 4.589075e-24	 3.320522e+03	 0
368	 G10585	 0	 4.644313e-24	 3.319174e+03	 0
369	 G4571	 0	 4.684094e-24	 3.327362e+03	 0
370	 G2278	 0	 4.699581e-24	 3.332481e+03	 0
371	 G8280	 0	 4.795273e-24	 3.315843e+03	 0
372	 G12521	 0	 4.869277e-24	 3.319083e+03	 0
373	 G20712	 0	 4.874392e-24	 3.317164e+03	 0
374	 G453	 0	 5.047853e-24	 3.324303e+03	 0
375	 G2063	 0	 5.287210e-24	 3.313286e+03	 0
376	 G18878	 0	 5.438113e-24	 3.303452e+03	 0
377	 G8180	 0	 5.442506e-24	 3.301050e+03	 0
378	 G7994	 0	 5.472955e-24	 3.313828e+03	 0
379	 G21741	 0	 5.509512e-24	 3.306573e+03	 0
380	 G21538	 0	 5.630518e-24	 3.304917e+03	 0
381	 G194	 0	 5.678221e-24	 3.301267e+03	 0
382	 G8305	 0	 5.754827e-24	 3.299901e+03	 0
383	 G19098	 0	 5.774044e-24	 3.294232e+03	 0
384	 G6702	 0	 5.817321e-24	 3.323716e+03	 0
385	 G21620	 0	 5.823835e-24	 3.301071e+03	 0
386	 G11773	 0	 5.862123e-24	 3.337894e+03	 0
387	 G14694	 0	 6.027118e-24	 3.290886e+03	 0
388	 G13776	 0	 6.080864e-24	 3.296227e+03	 0
389	 G7491	 0	 6.144971e-24	 3.292925e+03	 0
390	 G16794	 0	 6.237223e-24	 3.290189e+03	 0
391	 G12548	 0	 6.442191e-24	 3.341339e+03	 0
392	 G3648	 0	 6.527731e-24	 3.367731e+03	 0
393	 G14008	 0	 6.580886e-24	 3.282179e+03	 0
394	 G2955	 0	 6.811620e-24	 3.284437e+03	 0
395	 G14128	 0	 6.843857e-24	 3.284666e+03	 0
396	 G11049	 0	 7.046674e-24	 3.276549e+03	 0
397	 G15706	 0	 7.061328e-24	 3.280277e+03	 0
398	 G16247	 0	 7.239799e-24	 3.294196e+03	 0
399	 G264	 0	 7.294269e-24	 3.274474e+03	 0
400	 G15850	 0	 7.302083e-24	 3.268405e+03	 0
401	 G22191	 0	 7.404034e-24	 3.272654e+03	 0
402	 G1261	 0	 7.512143e-24	 3.274939e+03	 0
403	 G12618	 0	 7.533484e-24	 3.271367e+03	 0
404	 G3358	 0	 7.654904e-24	 3.282379e+03	 0
405	 G15194	 0	 7.673207e-24	 3.280108e+03	 0
406	 G12923	 0	 7.748315e-24	 3.260100e+03	 0
407	 G365	 0	 7.751104e-24	 3.273249e+03	 0
408	 G5560	 0	 7.777377e-24	 3.279104e+03	 0
409	 G15288	 0	 7.876561e-24	 3.261550e+03	 0
410	 G21795	 0	 7.911432e-24	 3.259159e+03	 0
411	 G198	 0	 8.171845e-24	 3.255035e+03	 0
412	 G15877	 0	 8.174373e-24	 3.256232e+03	 0
413	 G14392	 0	 8.329327e-24	 3.270404e+03	 0
414	 G862	 0	 8.410415e-24	 3.266650e+03	 0
415	 G21889	 0	 8.483170e-24	 3.263806e+03	 0
416	 G19075	 0	 8.514915e-24	 3.251438e+03	 0
417	 G5849	 0	 8.628195e-24	 3.253866e+03	 0
418	 G13940	 0	 8.651286e-24	 3.251708e+03	 0
419	 G7871	 0	 8.699580e-24	 3.250886e+03	 0
420	 G8833	 0	 8.753402e-24	 3.255938e+03	 0
421	 G15588	 0	 8.838661e-24	 3.248481e+03	 0
422	 G7225	 0	 8.942000e-24	 3.244957e+03	 0
423	 G16314	 0	 9.275610e-24	 3.253891e+03	 0
424	 G19357	 0	 9.389879e-24	 3.252745e+03	 0
425	 G16459	 0	 9.477549e-24	 3.243957e+03	 0
426	 G7044	 0	 9.728211e-24	 3.242853e+03	 0
427	 G4069	 0	 9.785034e-24	 3.238764e+03	 0
428	 G2614	 0	 1.012484e-23	 3.323914e+03	 0
429	 G15596	 0	 1.012980e-23	 3.237095e+03	 0
430	 G21298	 0	 1.025367e-23	 3.247099e+03	 0
431	 G22552	 0	 1.030203e-23	 3.241140e+03	 0
432	 G432	 0	 1.068060e-23	 3.237114e+03	 0
433	 G7230	 0	 1.080396e-23	 3.223533e+03	 0
434	 G9755	 0	 1.092898e-23	 3.247667e+03	 0
435	 G21357	 0	 1.094501e-23	 3.260381e+03	 0
436	 G413	 0	 1.122247e-23	 3.224291e+03	 0
437	 G162	 0	 1.126843e-23	 3.218635e+03	 0
438	 G937	 0	 1.132192e-23	 3.221175e+03	 0
439	 G10283	 0	 1.158367e-23	 3.250873e+03	 0
440	 G4697	 0	 1.206482e-23	 3.213356e+03	 0
441	 G16329	 0	 1.208624e-23	 3.223273e+03	 0
442	 G16991	 0	 1.216435e-23	 3.211614e+03	 0
443	 G3500	 0	 1.225226e-23	 3.220831e+03	 0
444	 G293	 0	 1.230493e-23	 3.209372e+03	 0
445	 G16330	 0	 1.235407e-23	 3.211297e+03	 0
446	 G3413	 0	 1.246088e-23	 3.243325e+03	 0
447	 G13735	 0	 1.261926e-23	 3.210586e+03	 0
448	 G9243	 0	 1.271377e-23	 3.217306e+03	 0
449	 G12550	 0	 1.285984e-23	 3.218978e+03	 0
450	 G14981	 0	 1.288149e-23	 3.208978e+03	 0
451	 G6014	 0	 1.298376e-23	 3.208917e+03	 0
