FBgn	Chr	Start	Stop	Strand
FBgn0033052	2R	1533661	1542894	-
FBgn0033054	2R	1543946	1547723	-
FBgn0033055	2R	1550043	1552358	+
FBgn0033056	2R	1564745	1566946	-
FBgn0033058	2R	1570089	1575102	+
FBgn0033059	2R	1582222	1583765	-
FBgn0033060	2R	1584364	1585421	+
FBgn0033061	2R	1586024	1587960	-
FBgn0033062	2R	1588216	1593008	-
FBgn0000546	2R	1598168	1676472	-
FBgn0033063	2R	1644778	1645839	+
FBgn0011958	2R	1649553	1649625	+
FBgn0011891	2R	1649760	1649832	-
FBgn0011938	2R	1659991	1660064	-
FBgn0011937	2R	1660574	1660647	+
FBgn0011936	2R	1660894	1660967	-
FBgn0011957	2R	1668923	1668995	+
FBgn0011933	2R	1669411	1669484	-
FBgn0011932	2R	1669585	1669658	+
FBgn0011931	2R	1669907	1669980	+
FBgn0011889	2R	1670069	1670141	-
FBgn0011888	2R	1672264	1672336	-
FBgn0011887	2R	1673372	1673444	+
FBgn0011880	2R	1673539	1673612	+
FBgn0011956	2R	1676995	1677067	+
FBgn0011890	2R	1678884	1678956	-
FBgn0050316	2R	1679075	1679147	+
FBgn0033065	2R	1681084	1682830	+
FBgn0011955	2R	1685972	1686044	-
FBgn0040502	2R	1687108	1687758	+
FBgn0033067	2R	1688307	1689014	-
FBgn0033068	2R	1689363	1703395	-
FBgn0011935	2R	1697517	1697590	-
FBgn0011934	2R	1697760	1697833	+
FBgn0050432	2R	1704987	1705730	-
FBgn0033069	2R	1708183	1709221	+
FBgn0050431	2R	1710131	1712591	+
FBgn0033072	2R	1714606	1716696	-
FBgn0021847	2R	1717165	1721506	-
FBgn0033073	2R	1721961	1747204	+
FBgn0033074	2R	1733015	1734272	+
FBgn0033075	2R	1749412	1762654	+
FBgn0010347	2R	2014072	2040536	+
FBgn0033076	2R	2111718	2112791	-
FBgn0040673	2R	2118803	2124826	-
FBgn0041145	2R	2122318	2131209	+
FBgn0053919	2R	2135645	2136390	-
FBgn0004145	2R	2138726	2144941	-
FBgn0026761	2R	2145460	2148075	-
FBgn0042085	2R	2148331	2154174	+
FBgn0033079	2R	2154230	2156893	-
FBgn0029131	2R	2160554	2164644	+
FBgn0050443	2R	2165046	2167038	+
FBgn0033081	2R	2167267	2168263	-
FBgn0013732	2R	2169141	2172437	+
FBgn0033083	2R	2172463	2173931	-
FBgn0000054	2R	2174082	2179900	+
FBgn0033085	2R	2179998	2180520	+
FBgn0033086	2R	2180906	2181758	+
FBgn0033087	2R	2182845	2185158	-
FBgn0033088	2R	2185422	2186878	+
FBgn0033089	2R	2186886	2187565	-
FBgn0033092	2R	2187640	2204407	+
FBgn0050445	2R	2188809	2192199	-
FBgn0033090	2R	2195052	2196170	+
FBgn0050446	2R	2196785	2201775	-
FBgn0033093	2R	2205253	2207000	+
FBgn0033094	2R	2206927	2208438	-
FBgn0014009	2R	2208535	2211749	+
FBgn0033095	2R	2211933	2227678	-
FBgn0033096	2R	2228158	2229620	-
FBgn0033097	2R	2230429	2231346	-
FBgn0010482	2R	2232912	2252457	-
FBgn0028579	2R	2253680	2257957	+
FBgn0042083	2R	2258198	2260767	+
FBgn0027066	2R	2261005	2267852	+
FBgn0033100	2R	2268103	2268833	-
FBgn0033101	2R	2269414	2270699	-
FBgn0033102	2R	2273725	2300819	-
FBgn0000473	2R	2291528	2293268	-
FBgn0033103	2R	2303931	2304923	-
FBgn0014028	2R	2319424	2320986	+
FBgn0033104	2R	2320889	2321542	-
FBgn0022224	2R	2321888	2322250	-
FBgn0028954	2R	2322833	2326635	+
FBgn0033107	2R	2326873	2328818	+
FBgn0033108	2R	2340171	2350173	+
FBgn0040674	2R	2349887	2350740	-
FBgn0033109	2R	2373814	2384582	-
FBgn0033110	2R	2385381	2387426	-
FBgn0028985	2R	2387717	2390736	-
FBgn0033112	2R	2391415	2392528	-
FBgn0033113	2R	2393529	2395224	+
FBgn0028988	2R	2394816	2396686	+
FBgn0033115	2R	2398218	2400079	+
FBgn0050158	2R	2403576	2434426	+
FBgn0033117	2R	2435184	2436494	+
FBgn0053558	2R	2438294	2483357	-
FBgn0066293	2R	2454983	2455799	-
FBgn0066292	2R	2456507	2457211	-
FBgn0011892	2R	2458621	2458693	-
FBgn0011893	2R	2459551	2459623	-
FBgn0011894	2R	2460097	2460169	-
FBgn0011895	2R	2460946	2461018	-
FBgn0053348	2R	2461295	2462100	+
FBgn0053349	2R	2462198	2463971	+
FBgn0033121	2R	2483925	2486799	-
FBgn0050157	2R	2485916	2486682	-
FBgn0022960	2R	2487095	2497522	-
FBgn0050156	2R	2493259	2494799	-
FBgn0033122	2R	2497541	2500737	+
FBgn0029508	2R	2504489	2516074	+
FBgn0050159	2R	2504499	2506121	+
FBgn0042086	2R	2509978	2511664	+
FBgn0050160	2R	2517031	2517835	+
FBgn0033124	2R	2518260	2520435	+
FBgn0029507	2R	2521673	2523667	-
FBgn0029506	2R	2524069	2530177	+
FBgn0033127	2R	2536825	2539895	+
FBgn0033128	2R	2540726	2545049	+
FBgn0033129	2R	2545376	2546732	+
FBgn0033130	2R	2546940	2548771	+
FBgn0053914	2R	2548745	2549482	-
FBgn0033131	2R	2551045	2551557	+
FBgn0033132	2R	2551952	2554575	+
FBgn0033133	2R	2554845	2556344	+
FBgn0033134	2R	2557586	2560358	+
FBgn0016032	2R	2561609	2563778	+
FBgn0033135	2R	2564587	2565856	+
FBgn0033136	2R	2566526	2568395	+
FBgn0033137	2R	2568210	2569348	-
FBgn0027558	2R	2569464	2573532	-
FBgn0033138	2R	2573920	2575379	-
FBgn0033139	2R	2576306	2577808	+
FBgn0033140	2R	2580060	2581630	+
FBgn0050298	2R	2581783	2581856	-
FBgn0050299	2R	2582573	2582646	-
FBgn0033141	2R	2584974	2585976	-
FBgn0028642	2R	2598127	2639683	+
FBgn0033142	2R	2618755	2619741	+
FBgn0015038	2R	2639650	2641620	-
FBgn0015039	2R	2642082	2643948	-
FBgn0024294	2R	2659511	2661065	+
FBgn0003090	2R	2662515	2735193	+
FBgn0024293	2R	2663478	2665496	-
FBgn0044011	2R	2665550	2667235	-
FBgn0002930	2R	2668289	2670041	-
FBgn0033149	2R	2687699	2690101	+
FBgn0053140	2R	2690203	2692473	+
FBgn0050385	2R	2693139	2694850	+
FBgn0050384	2R	2694810	2697116	+
FBgn0026389	2R	2744652	2746726	-
FBgn0026602	2R	2754873	2757571	-
FBgn0033153	2R	2760976	2761816	+
FBgn0033154	2R	2770906	2773064	-
FBgn0033155	2R	2784345	2789888	-
FBgn0033156	2R	2790280	2793374	+
FBgn0003174	2R	2807121	2812215	+
FBgn0033158	2R	2823221	2825163	+
FBgn0033159	2R	2831367	2893682	-
FBgn0050500	2R	2847504	2848281	+
FBgn0050501	2R	2858096	2858982	+
FBgn0000352	2R	2893977	2898925	-
FBgn0033160	2R	2899027	2902837	+
FBgn0041243	2R	2902835	2904962	-
FBgn0033162	2R	2905359	2907761	-
FBgn0033166	2R	2910037	2919634	-
FBgn0033164	2R	2912778	2915566	+
FBgn0033165	2R	2913722	2914150	+
FBgn0033167	2R	2920706	2923894	-
FBgn0003460	2R	2930845	2946685	+
FBgn0033168	2R	2939717	2940406	-
FBgn0033169	2R	2952506	2954698	+
FBgn0033170	2R	2954677	2955656	+
FBgn0050503	2R	2955633	2956439	-
FBgn0040513	2R	2956836	2957574	-
FBgn0050502	2R	2957985	2963364	-
FBgn0033174	2R	2959292	2961228	+
FBgn0025885	2R	2966727	2970676	-
FBgn0033177	2R	2972240	2975208	-
FBgn0033178	2R	2975184	2976800	+
FBgn0033179	2R	2976828	2978544	-
FBgn0010548	2R	2978687	2988975	-
FBgn0015930	2R	2993683	3001676	-
FBgn0033182	2R	3002642	3004392	-
FBgn0033183	2R	3005618	3008279	-
FBgn0015929	2R	3008514	3011687	-
FBgn0015933	2R	3011968	3020438	+
FBgn0033184	2R	3020340	3022267	-
FBgn0025185	2R	3022424	3024537	-
FBgn0033185	2R	3025883	3028183	-
FBgn0033186	2R	3028793	3030724	-
FBgn0033187	2R	3031093	3034359	+
FBgn0022772	2R	3034248	3037521	-
FBgn0033188	2R	3037931	3044795	-
FBgn0033189	2R	3045321	3047756	+
FBgn0033190	2R	3047732	3050110	+
FBgn0033191	2R	3050043	3051509	-
FBgn0033192	2R	3066686	3073067	+
FBgn0050499	2R	3076245	3077562	-
FBgn0004132	2R	3077683	3078548	-
FBgn0033194	2R	3079078	3092488	+
FBgn0004133	2R	3092298	3098856	-
FBgn0033195	2R	3099585	3101919	-
FBgn0004243	2R	3101932	3107067	+
FBgn0033196	2R	3107078	3126348	-
FBgn0050492	2R	3135057	3163600	+
FBgn0027604	2R	3152725	3159937	+
FBgn0033199	2R	3163432	3167124	-
FBgn0028687	2R	3164249	3165761	-
FBgn0050491	2R	3166941	3168583	+
FBgn0050495	2R	3169225	3170249	+
FBgn0033202	2R	3171069	3172431	-
FBgn0033203	2R	3173825	3175072	+
FBgn0033204	2R	3175599	3177088	+
FBgn0033205	2R	3177645	3179160	+
FBgn0033206	2R	3179054	3180842	-
FBgn0033207	2R	3182363	3182815	-
FBgn0033208	2R	3185528	3186216	-
FBgn0033209	2R	3186266	3187175	+
FBgn0033210	2R	3187174	3188165	-
FBgn0033212	2R	3188880	3198897	-
FBgn0050493	2R	3211094	3215316	+
FBgn0050496	2R	3211317	3213703	+
FBgn0003733	2R	3216986	3221004	-
FBgn0033214	2R	3221687	3223802	+
FBgn0033215	2R	3224436	3226003	+
FBgn0033216	2R	3227692	3228515	+
FBgn0042135	2R	3230259	3247432	-
FBgn0050497	2R	3249563	3294427	-
FBgn0000337	2R	3294610	3297019	-
FBgn0015614	2R	3297825	3299953	+
FBgn0033221	2R	3301069	3301701	+
FBgn0033222	2R	3302215	3302810	+
FBgn0001091	2R	3303711	3305193	-
FBgn0002891	2R	3305065	3312857	+
FBgn0033224	2R	3312594	3318212	-
FBgn0003317	2R	3318291	3321883	+
FBgn0033225	2R	3321888	3323848	-
FBgn0033226	2R	3324319	3326558	+
FBgn0029093	2R	3333923	3335381	-
FBgn0050383	2R	3335756	3336954	-
FBgn0003082	2R	3337305	3339133	+
FBgn0026781	2R	3339114	3340489	-
FBgn0042173	2R	3340870	3342210	+
FBgn0050382	2R	3342324	3343408	-
FBgn0033229	2R	3343980	3345662	+
FBgn0040780	2R	3345998	3346391	+
FBgn0004568	2R	3348055	3363043	-
FBgn0033230	2R	3365208	3366554	-
FBgn0050377	2R	3412766	3426823	+
FBgn0033232	2R	3426842	3428276	-
FBgn0015509	2R	3428669	3432790	+
FBgn0026393	2R	3432787	3434356	-
FBgn0033233	2R	3434582	3436796	-
FBgn0033234	2R	3438490	3441740	+
FBgn0050381	2R	3441794	3442150	-
FBgn0023171	2R	3442838	3444199	-
FBgn0026722	2R	3444239	3448668	+
FBgn0033235	2R	3448670	3450982	-
FBgn0050380	2R	3451066	3451371	-
FBgn0050379	2R	3451769	3453683	+
FBgn0033236	2R	3453853	3467685	-
FBgn0033237	2R	3455255	3458795	+
FBgn0033238	2R	3461652	3462296	+
FBgn0050378	2R	3462152	3462906	+
FBgn0033240	2R	3467475	3469879	+
FBgn0033241	2R	3470011	3471840	-
FBgn0026361	2R	3471937	3473735	-
FBgn0027548	2R	3474299	3481628	+
FBgn0033243	2R	3478587	3479837	-
FBgn0033244	2R	3479944	3483862	-
FBgn0027054	2R	3483988	3485914	+
FBgn0033246	2R	3485924	3499037	-
FBgn0033247	2R	3500275	3503097	+
FBgn0033248	2R	3505603	3506781	-
FBgn0027788	2R	3507249	3510386	-
FBgn0033249	2R	3512462	3513933	-
FBgn0013307	2R	3516616	3518486	+
FBgn0013308	2R	3519077	3520877	+
FBgn0033250	2R	3520924	3525567	-
FBgn0025360	2R	3543446	3554349	+
FBgn0033252	2R	3565639	3577364	-
FBgn0040778	2R	3578422	3579465	-
FBgn0020279	2R	3579794	3590638	+
FBgn0021814	2R	3591031	3591848	-
FBgn0025469	2R	3592370	3594183	-
FBgn0028563	2R	3594791	3598962	+
FBgn0028562	2R	3599229	3601110	+
FBgn0028561	2R	3601289	3603110	+
FBgn0033257	2R	3603511	3608758	+
FBgn0033258	2R	3608750	3610267	-
FBgn0033259	2R	3610498	3613717	+
FBgn0033260	2R	3614071	3618122	-
FBgn0033261	2R	3618239	3619186	+
FBgn0050372	2R	3626576	3634665	-
FBgn0033264	2R	3634829	3636871	+
FBgn0033265	2R	3636793	3639055	-
FBgn0033266	2R	3639444	3641289	+
FBgn0033267	2R	3641162	3643145	-
FBgn0005648	2R	3643226	3646187	+
FBgn0033268	2R	3646178	3646904	-
FBgn0033269	2R	3649801	3657790	-
FBgn0010504	2R	3658730	3668463	-
FBgn0050374	2R	3669070	3669600	-
FBgn0050297	2R	3670268	3670341	+
FBgn0033271	2R	3671270	3673043	-
FBgn0033272	2R	3673492	3675326	-
FBgn0050373	2R	3675761	3676479	-
FBgn0021995	2R	3676698	3679582	+
FBgn0033273	2R	3679760	3681904	+
FBgn0011659	2R	3681849	3684215	+
FBgn0033274	2R	3684277	3685426	-
FBgn0033275	2R	3716701	3717519	-
FBgn0053087	2R	3718331	3737551	+
FBgn0010109	2R	3740784	3744140	-
FBgn0013726	2R	3749082	3752143	+
FBgn0033277	2R	3766069	3768549	+
FBgn0050369	2R	3771144	3771596	+
FBgn0033278	2R	3771849	3772229	+
FBgn0033279	2R	3772459	3773276	-
FBgn0033280	2R	3774501	3775091	-
FBgn0050376	2R	3775426	3776239	-
FBgn0063356	2R	3776743	3778897	+
FBgn0050375	2R	3777695	3779095	-
FBgn0050371	2R	3779488	3781121	-
FBgn0067713	2R	3809928	3809954	+
FBgn0050358	2R	3831660	3832353	+
FBgn0033282	2R	3859352	3860206	+
FBgn0033283	2R	3869939	3871280	+
FBgn0050365	2R	3870761	3873003	-
FBgn0050364	2R	3873036	3873969	-
FBgn0050366	2R	3875203	3876201	-
FBgn0050363	2R	3876205	3877158	-
FBgn0050362	2R	3877355	3878473	-
FBgn0033285	2R	3878972	3879740	-
FBgn0033286	2R	3880152	3881851	-
FBgn0033287	2R	3882886	3883964	+
FBgn0033288	2R	3899183	3908111	+
FBgn0033289	2R	3908206	3923038	-
FBgn0028836	2R	3932801	3940397	+
FBgn0002531	2R	3942447	3943045	-
FBgn0011812	2R	3944699	3945197	-
FBgn0002533	2R	3945780	3946388	-
FBgn0002534	2R	3947257	3947831	+
FBgn0002535	2R	3949470	3950216	+
FBgn0033292	2R	3951206	3954592	-
FBgn0014469	2R	3956525	3958984	+
FBgn0015034	2R	3959282	3961558	+
FBgn0002570	2R	3961474	3963712	-
FBgn0002569	2R	3965445	3967599	+
FBgn0002571	2R	3967722	3969698	-
FBgn0033294	2R	3970637	3972710	+
FBgn0050359	2R	3974586	3976907	+
FBgn0050360	2R	3976983	3978803	+
FBgn0033296	2R	3981362	3984110	-
FBgn0033297	2R	3983778	3985756	+
FBgn0050361	2R	3986241	4033905	-
FBgn0033300	2R	4045932	4046276	+
FBgn0033301	2R	4063764	4064066	-
FBgn0033302	2R	4076157	4077750	-
FBgn0033303	2R	4081182	4081960	+
FBgn0033304	2R	4082315	4083958	+
FBgn0033305	2R	4085181	4090299	-
FBgn0033306	2R	4092641	4094103	-
FBgn0033307	2R	4102383	4103633	+
FBgn0033308	2R	4105841	4106829	-
FBgn0033309	2R	4109341	4111744	-
FBgn0033310	2R	4112246	4124163	+
FBgn0033312	2R	4123707	4125724	-
FBgn0033313	2R	4127921	4137016	+
FBgn0022027	2R	4137264	4137997	+
FBgn0033315	2R	4138249	4139397	-
FBgn0033316	2R	4139690	4141999	+
FBgn0033317	2R	4142007	4143775	-
FBgn0003892	2R	4161448	4177036	+
FBgn0050353	2R	4170019	4170687	+
FBgn0010609	2R	4177668	4194604	+
FBgn0050354	2R	4189140	4189455	+
FBgn0050355	2R	4190952	4191761	-
FBgn0011906	2R	4195028	4195110	+
FBgn0001285	2R	4203263	4204164	+
FBgn0033320	2R	4205552	4207609	-
FBgn0033321	2R	4208239	4210396	+
FBgn0033322	2R	4212505	4213607	-
FBgn0033323	2R	4213648	4216315	+
FBgn0033324	2R	4218891	4220940	-
FBgn0043576	2R	4221576	4222133	+
FBgn0033326	2R	4222211	4224530	-
FBgn0033327	2R	4225257	4225895	+
FBgn0043575	2R	4228780	4229334	+
FBgn0040777	2R	4229825	4235650	-
FBgn0050357	2R	4231966	4233437	-
FBgn0005695	2R	4236073	4240817	+
FBgn0050356	2R	4240773	4241315	-
FBgn0025937	2R	4241311	4246117	-
FBgn0027585	2R	4247632	4271403	+
FBgn0033330	2R	4304446	4305590	+
FBgn0024189	2R	4310330	4367450	+
FBgn0050352	2R	4332653	4333334	-
FBgn0050350	2R	4338204	4339576	+
FBgn0011286	2R	4372204	4399910	+
FBgn0033337	2R	4400219	4403212	-
FBgn0021825	2R	4403653	4405152	+
FBgn0033339	2R	4405437	4410597	+
FBgn0027513	2R	4410536	4412014	-
FBgn0033340	2R	4412054	4412438	+
FBgn0033341	2R	4412376	4413185	-
FBgn0004921	2R	4413216	4416604	+
FBgn0033342	2R	4416655	4418814	-
FBgn0050349	2R	4419333	4422698	+
FBgn0033344	2R	4421243	4422162	-
FBgn0003074	2R	4422715	4425939	-
FBgn0002552	2R	4426341	4430047	+
FBgn0033347	2R	4430751	4431838	-
FBgn0033348	2R	4432079	4434564	-
FBgn0033349	2R	4434601	4437159	+
FBgn0033350	2R	4437502	4438703	+
FBgn0033351	2R	4438826	4439913	-
FBgn0033352	2R	4439987	4444909	+
FBgn0033353	2R	4445311	4445921	+
FBgn0033354	2R	4446430	4451566	-
FBgn0033355	2R	4452282	4452623	+
FBgn0027607	2R	4456109	4459174	-
FBgn0033356	2R	4459920	4462917	-
FBgn0053199	2R	4460341	4462917	-
FBgn0033357	2R	4463501	4464002	+
FBgn0011300	2R	4464156	4473449	+
FBgn0033358	2R	4474977	4479995	-
FBgn0033359	2R	4481149	4497371	-
FBgn0033360	2R	4505355	4506288	-
FBgn0033361	2R	4506810	4509673	-
FBgn0033362	2R	4519384	4525321	-
FBgn0033363	2R	4526319	4528492	-
FBgn0033364	2R	4529668	4530687	+
FBgn0033365	2R	4530838	4542854	-
FBgn0033366	2R	4551533	4553955	-
FBgn0033367	2R	4554073	4556521	-
FBgn0033368	2R	4556663	4571719	-
FBgn0033369	2R	4572436	4573737	-
FBgn0011746	2R	4580914	4589367	+
FBgn0025709	2R	4590542	4594188	+
FBgn0033371	2R	4594250	4596206	+
FBgn0033372	2R	4596411	4599370	-
FBgn0010220	2R	4599674	4601633	+
FBgn0033373	2R	4601587	4604782	-
FBgn0033374	2R	4604316	4606481	-
FBgn0065074	2R	4607617	4607645	+
FBgn0033375	2R	4608744	4610280	-
FBgn0065065	2R	4608882	4608983	+
FBgn0033376	2R	4610383	4614969	+
FBgn0015838	2R	4615057	4618609	+
FBgn0033377	2R	4618955	4621536	-
FBgn0033378	2R	4622614	4623395	+
FBgn0033379	2R	4623314	4625766	-
FBgn0033380	2R	4626076	4627850	+
FBgn0003612	2R	4627939	4632629	+
FBgn0033381	2R	4634106	4635122	+
FBgn0027561	2R	4635110	4643794	-
FBgn0033382	2R	4644352	4647266	+
FBgn0033383	2R	4647183	4649763	-
FBgn0028955	2R	4650287	4653794	+
FBgn0033385	2R	4653957	4655723	-
FBgn0050342	2R	4655772	4656964	+
FBgn0050344	2R	4657062	4660327	+
FBgn0050345	2R	4660640	4663117	+
FBgn0033387	2R	4669720	4673248	-
FBgn0033388	2R	4673848	4676763	-
FBgn0033389	2R	4677548	4678679	+
FBgn0003194	2R	4678374	4679331	-
FBgn0015477	2R	4679569	4688993	-
FBgn0002567	2R	4689677	4698174	-
FBgn0033391	2R	4698474	4703908	-
FBgn0015561	2R	4707027	4711685	+
FBgn0033392	2R	4716221	4718934	-
FBgn0033393	2R	4719375	4721477	+
FBgn0033394	2R	4730940	4731359	+
FBgn0010114	2R	4739594	4759060	-
FBgn0033395	2R	4749343	4751646	+
FBgn0015037	2R	4751856	4753950	+
FBgn0033397	2R	4754154	4756223	+
FBgn0050343	2R	4763826	4765077	+
FBgn0020621	2R	4765313	4796910	-
FBgn0033400	2R	4797118	4798442	-
FBgn0033401	2R	4798649	4800847	+
FBgn0026326	2R	4800760	4803367	-
FBgn0028408	2R	4803670	4814025	+
FBgn0033402	2R	4815491	4820489	-
FBgn0033403	2R	4829354	4863447	-
FBgn0033404	2R	4857235	4858425	+
FBgn0040775	2R	4874384	4874719	-
FBgn0033405	2R	4883272	4886049	-
FBgn0010549	2R	4902720	4906946	+
FBgn0033408	2R	4907209	4907893	-
FBgn0028473	2R	4908078	4910563	-
FBgn0016970	2R	4910902	4911567	+
FBgn0053774	2R	4911556	4912097	-
FBgn0016078	2R	4912360	4925273	-
FBgn0041087	2R	4926157	4929661	+
FBgn0033412	2R	4934231	4935435	-
FBgn0033413	2R	4935884	4937924	+
FBgn0017558	2R	4938255	4945207	+
FBgn0029092	2R	4946482	4953373	-
FBgn0033415	2R	4960712	4962208	+
FBgn0053758	2R	4965222	4965868	-
FBgn0053757	2R	4966110	4966761	-
FBgn0033416	2R	4969853	4970617	+
FBgn0033417	2R	4983291	4989905	+
FBgn0004360	2R	5005982	5015003	+
FBgn0033418	2R	5021703	5023363	+
FBgn0033419	2R	5034751	5036151	+
FBgn0050336	2R	5038996	5040725	+
FBgn0050337	2R	5041903	5049289	+
FBgn0033421	2R	5056985	5058767	-
FBgn0046827	2R	5065615	5065635	+
FBgn0033422	2R	5071411	5072881	+
FBgn0033423	2R	5073462	5075686	+
FBgn0033424	2R	5078750	5087266	-
FBgn0033425	2R	5087321	5090293	-
FBgn0033426	2R	5089240	5093664	+
FBgn0033427	2R	5093569	5096358	-
FBgn0033428	2R	5096480	5097931	+
FBgn0033429	2R	5097938	5098478	-
FBgn0025286	2R	5098996	5099813	+
FBgn0033432	2R	5099819	5101024	-
FBgn0033431	2R	5100919	5102415	+
FBgn0010342	2R	5102639	5104564	+
FBgn0033433	2R	5104783	5105415	-
FBgn0033434	2R	5105896	5117447	+
FBgn0033435	2R	5106198	5109110	-
FBgn0053479	2R	5109292	5110251	-
FBgn0050338	2R	5110397	5111263	+
FBgn0050340	2R	5111722	5113024	-
FBgn0050339	2R	5113246	5114714	-
FBgn0050000	2R	5117803	5118991	+
FBgn0050005	2R	5119114	5120038	+
FBgn0033437	2R	5119940	5122097	-
FBgn0033438	2R	5123504	5198478	-
FBgn0067697	2R	5133077	5133096	-
FBgn0011921	2R	5173038	5173109	+
FBgn0023143	2R	5200100	5205141	-
FBgn0050002	2R	5216196	5217969	+
FBgn0033439	2R	5218097	5219401	+
FBgn0033440	2R	5219384	5220352	+
FBgn0010316	2R	5224136	5228076	+
FBgn0050004	2R	5228251	5229771	-
FBgn0033441	2R	5230452	5257086	-
FBgn0053800	2R	5260613	5261202	+
FBgn0005614	2R	5265530	5277333	+
FBgn0033442	2R	5268736	5269881	-
FBgn0027589	2R	5278175	5318678	-
FBgn0033443	2R	5305156	5309820	+
FBgn0033446	2R	5323198	5331864	-
FBgn0040092	2R	5327323	5328413	+
FBgn0040093	2R	5329113	5330348	+
FBgn0054033	2R	5332382	5332946	+
FBgn0050001	2R	5333745	5334732	-
FBgn0033447	2R	5334890	5338938	-
FBgn0033448	2R	5339914	5345376	-
FBgn0033449	2R	5349002	5350223	+
FBgn0033450	2R	5350246	5351313	-
FBgn0033451	2R	5351604	5352975	+
FBgn0033452	2R	5352887	5354322	-
FBgn0033453	2R	5354511	5357327	+
FBgn0023180	2R	5357253	5358272	-
FBgn0023175	2R	5358440	5359647	-
FBgn0033454	2R	5359874	5362631	+
FBgn0027580	2R	5362521	5373356	-
FBgn0050010	2R	5375633	5376389	+
FBgn0011241	2R	5376321	5386885	-
FBgn0033457	2R	5377462	5378347	+
FBgn0033458	2R	5383285	5385459	+
FBgn0033459	2R	5387097	5388058	+
FBgn0033460	2R	5388712	5394166	-
FBgn0033463	2R	5395570	5403491	-
FBgn0033461	2R	5399461	5400723	+
FBgn0050008	2R	5401711	5402933	+
FBgn0050007	2R	5403813	5410333	+
FBgn0033464	2R	5410807	5415096	-
FBgn0000715	2R	5418104	5422277	+
FBgn0033465	2R	5422706	5425301	+
FBgn0011656	2R	5425308	5470621	-
FBgn0033467	2R	5471038	5471488	-
FBgn0033466	2R	5471362	5475876	+
FBgn0033468	2R	5475657	5476875	-
FBgn0033469	2R	5479045	5480249	+
FBgn0027619	2R	5480773	5482718	+
FBgn0033471	2R	5482962	5484603	+
FBgn0000606	2R	5491054	5492592	+
FBgn0024923	2R	5500974	5505380	+
FBgn0022382	2R	5507617	5537848	-
FBgn0033473	2R	5538654	5542481	+
FBgn0033474	2R	5540249	5544701	-
FBgn0033475	2R	5545107	5546514	+
FBgn0033476	2R	5547576	5560431	-
FBgn0040773	2R	5561296	5562687	+
FBgn0033477	2R	5562675	5563945	-
FBgn0033478	2R	5564356	5575526	+
FBgn0010385	2R	5566102	5566380	-
FBgn0033479	2R	5575192	5578368	-
FBgn0033480	2R	5578462	5579056	+
FBgn0013435	2R	5579030	5580507	-
FBgn0033481	2R	5580922	5582891	+
FBgn0033482	2R	5582784	5587455	-
FBgn0033483	2R	5590178	5596032	+
FBgn0028560	2R	5597253	5598940	-
FBgn0033484	2R	5599384	5608229	+
FBgn0001291	2R	5608293	5610418	+
FBgn0033485	2R	5610329	5611399	-
FBgn0004907	2R	5611492	5621500	+
FBgn0003071	2R	5621553	5629004	+
FBgn0033486	2R	5629506	5633272	+
