Field	Time	C7:X	C7:Y	C7:Z	CLAV:X	CLAV:Y	CLAV:Z	LANK:X	LANK:Y	LANK:Z	LBHD:X	LBHD:Y	LBHD:Z	LBWT:X	LBWT:Y	LBWT:Z	LELB:X	LELB:Y	LELB:Z	LFHD:X	LFHD:Y	LFHD:Z	LFIN:X	LFIN:Y	LFIN:Z	LFRM:X	LFRM:Y	LFRM:Z	LFWT:X	LFWT:Y	LFWT:Z	LHEE:X	LHEE:Y	LHEE:Z	LKNE:X	LKNE:Y	LKNE:Z	LMT5:X	LMT5:Y	LMT5:Z	LSHN:X	LSHN:Y	LSHN:Z	LSHO:X	LSHO:Y	LSHO:Z	LTHI:X	LTHI:Y	LTHI:Z	LTOE:X	LTOE:Y	LTOE:Z	LUPA:X	LUPA:Y	LUPA:Z	LWRA:X	LWRA:Y	LWRA:Z	LWRB:X	LWRB:Y	LWRB:Z	RANK:X	RANK:Y	RANK:Z	RBAC:X	RBAC:Y	RBAC:Z	RBHD:X	RBHD:Y	RBHD:Z	RBWT:X	RBWT:Y	RBWT:Z	RELB:X	RELB:Y	RELB:Z	RFHD:X	RFHD:Y	RFHD:Z	RFIN:X	RFIN:Y	RFIN:Z	RFRM:X	RFRM:Y	RFRM:Z	RFWT:X	RFWT:Y	RFWT:Z	RHEE:X	RHEE:Y	RHEE:Z	RKNE:X	RKNE:Y	RKNE:Z	RMT5:X	RMT5:Y	RMT5:Z	RSHN:X	RSHN:Y	RSHN:Z	RSHO:X	RSHO:Y	RSHO:Z	RTHI:X	RTHI:Y	RTHI:Z	RTOE:X	RTOE:Y	RTOE:Z	RUPA:X	RUPA:Y	RUPA:Z	RWRA:X	RWRA:Y	RWRA:Z	RWRB:X	RWRB:Y	RWRB:Z	STRN:X	STRN:Y	STRN:Z	T10:X	T10:Y	T10:Z
50	0.4083	-2144.5	-1504.5	1230.3	-1989.8	-1497.8	1098.6	-2445.1	-1475.1	145.08	-2082.5	-1433.6	1320.6	-2404.3	-1472.1	853.67	-2225	-1178.7	931.15	-1954.3	-1371.4	1342.3	-2130.2	-1227.5	657.03	-2236.1	-1191.2	806.53	-2240.3	-1445.7	719.36	-2496.1	-1571	112.41	-2256.4	-1343	393.38	-2432.8	-1394.9	37.007	-2340.5	-1375.8	309.23	-2045.2	-1341.8	1181	-2242.9	-1340	600.78	-2357.4	-1383.8	33.974	-2139.6	-1240.5	1086.4	-2141.4	-1289.1	719.69	-2204.5	-1177	715.61	-2682.2	-2045.1	137.97	-2201.9	-1616.7	1170.7	-2037.9	-1569.8	1339.4	-2408.1	-1646.1	864.77	-2019	-1770.6	892.5	-1881.3	-1480.5	1366.4	-1860.4	-1518.4	826.63	-1933.6	-1632.7	836.34	-2249.5	-1724.5	725.49	-2756.4	-1997.2	74.691	-2490.2	-1910.8	418.69	-2618.4	-2150.9	44.547	-2612.9	-1994	275.52	-2036	-1655.3	1221.5	-2380.6	-1864.6	524.68	-2520.5	-2150.4	32.327	-2020.7	-1733	1144	-1916.5	-1562.7	901.51	-1917.2	-1575.5	771.77	-9999.99	-9999.99	-9999.99	-2280.4	-1546.6	1101.1
51	0.4167	-2134.9	-1488.3	1233.9	-1980.1	-1478.2	1100.4	-2446.7	-1474.1	143.95	-2072.7	-1411.9	1324.6	-2393.1	-1465.1	856.79	-2215.7	-1165	925.78	-1945.4	-1350.1	1346	-2120.6	-1196.3	647.32	-2225.4	-1173.6	801.85	-2230.8	-1434	719.54	-2498.3	-1569.7	112.41	-2257	-1339.3	390.96	-2433.9	-1394.6	36.227	-2340.6	-1372.6	304.72	-2041.6	-1323.5	1184.2	-2235.7	-1329.7	594.97	-2358	-1384.3	34.06	-2134.8	-1224.9	1084.9	-2122.6	-1261.2	711.37	-2197.5	-1156.7	710.5	-2674.1	-2031	145.08	-2188.9	-1602.9	1175.2	-2028.4	-1548.1	1343.9	-2390.9	-1639.1	866.15	-2014.3	-1764.3	904.98	-1870.2	-1458.3	1368.1	-1857.3	-1510.4	816.84	-1927	-1627.8	837.12	-2230.7	-1711.4	724.97	-2747.1	-1980	84.067	-2474.3	-1898.4	419.99	-2619.8	-2141.6	53.214	-2600.7	-1980	279.59	-2022.2	-1634.8	1226.7	-2362	-1851.5	523.47	-2527.3	-2151.2	33.887	-2007	-1714.5	1152.2	-1911.4	-1551.9	895.79	-1911.5	-1576.6	768.31	-9999.99	-9999.99	-9999.99	-2268.4	-1536.7	1103.6
52	0.4250	-2124.8	-1471.6	1236.9	-1969.5	-1456.1	1103.7	-2447.7	-1472.7	142.91	-2062.6	-1389.5	1328.4	-2381.8	-1457.8	860.35	-2205.2	-1151.9	917.55	-1935.2	-1328.2	1348.5	-2112	-1165	636.92	-2213.5	-1158.7	793.53	-2221.1	-1422	720.46	-2500.4	-1568.2	111.97	-2256.1	-1335.2	386.8	-2434.9	-1394.4	35.707	-2340.4	-1368.5	300.74	-2038.2	-1304.7	1186	-2228.5	-1319.8	590.21	-2358.5	-1384.9	33.54	-2130.3	-1208.9	1081	-2101.3	-1231.8	701.92	-2190.3	-1139.2	702.79	-2663.3	-2015.4	153.49	-2176	-1588.5	1179.6	-2018.8	-1526.3	1348.3	-2373.7	-1632.2	867.97	-2007.7	-1757.4	916.68	-1859.1	-1436	1369.9	-1855	-1506.7	800.63	-1920.1	-1625.5	836.95	-2212.2	-1696.9	725.67	-2730.9	-1958.7	90.307	-2454.5	-1885.5	420.94	-2620.2	-2128.7	63.614	-2584.1	-1962.5	282.28	-2009	-1614.7	1231.5	-2340.6	-1839	522.26	-2534.9	-2149.1	35.794	-1994.6	-1696.6	1160	-1905	-1543.5	885.83	-1908.3	-1580.9	760.68	-9999.99	-9999.99	-9999.99	-2256.7	-1526.3	1106.5
53	0.4333	-2114.6	-1454.4	1239.5	-1957.1	-1434.2	1107	-2448.3	-1470.3	142.39	-2052.6	-1367.5	1332.3	-2370.2	-1450.3	864.07	-2194.2	-1139.8	906.71	-1923.9	-1306.3	1350	-2103.2	-1135.2	625.83	-2200.2	-1145.7	782.52	-2211.1	-1409.5	722.42	-2502.1	-1566.7	113.27	-2254.7	-1330.7	383.33	-2435.5	-1393.9	35.187	-2339.2	-1364.1	296.92	-2034.5	-1285.2	1186	-2222.1	-1310	585.87	-2358.8	-1385.2	33.194	-2124.7	-1192.7	1074.1	-2077.5	-1201.7	693.08	-2181.6	-1125.8	692.56	-2652	-2000.3	163.63	-2163.4	-1573.3	1184	-2009.5	-1504.2	1352.4	-2356.5	-1625.1	870.23	-2000.5	-1750.3	927.86	-1849	-1414.4	1371.9	-1854.9	-1508.4	778.88	-1913.5	-1626.2	834.35	-2193.2	-1681.1	726.19	-2719.9	-1940.3	104.26	-2430.2	-1872.6	421.12	-2620.7	-2114.8	74.967	-2567.3	-1952.6	289.21	-1996.2	-1594.7	1236.1	-2316.5	-1826.3	520.44	-2542.3	-2141.4	37.527	-1983.1	-1678.6	1167.2	-1897.8	-1538.6	871.96	-1907.1	-1589	750.97	-9999.99	-9999.99	-9999.99	-2244.9	-1514.9	1109.4
54	0.4417	-2104.5	-1436.5	1241.9	-1945.2	-1415.5	1110.4	-2448.4	-1468.1	142.74	-2042.6	-1345.1	1335.6	-2358.5	-1442.8	868.15	-2183.1	-1127.6	893.97	-1913.3	-1284.8	1352.4	-2088.9	-1109.4	615.95	-2185	-1134.4	769.61	-2200.7	-1396.5	725.75	-2503.4	-1565.3	116.91	-2252.9	-1326.1	380.73	-2435.8	-1392.9	34.494	-2337.9	-1359.8	294.5	-2031.7	-1265.5	1185	-2216.9	-1300.7	582.92	-2358.9	-1385.2	33.194	-2118	-1176	1064.7	-2051.6	-1172.7	684.24	-2168.2	-1115.4	679.82	-2639.1	-1983.9	177.32	-2151.3	-1557.3	1188.4	-2000.1	-1482	1355.7	-2339.2	-1617.8	872.57	-1992.9	-1742.4	939.04	-1839.3	-1393.3	1373.4	-1858.1	-1516.6	752.53	-1910.5	-1629.5	826.72	-2174.1	-1665.5	727.05	-2712.3	-1923	126.36	-2400.9	-1859.7	419.38	-2616	-2092.8	85.107	-2546.6	-1939.3	295.36	-1983.7	-1574.7	1239.9	-2289.6	-1812.6	517.49	-2546.3	-2123.7	37.96	-1971.9	-1659.9	1174.2	-1891.3	-1537.8	854.28	-1909.7	-1601.2	741.09	-9999.99	-9999.99	-9999.99	-2232.8	-1502.6	1112.3
55	0.4500	-2094.2	-1418.1	1243.9	-1935.5	-1396.7	1113.7	-2448	-1466	143.69	-2032.5	-1322.2	1338.1	-2347	-1435.6	872.48	-2171.5	-1115.2	879.76	-1903	-1263.7	1355	-2067.4	-1087.6	609.01	-2166.5	-1124	755.22	-2189.8	-1383	730.35	-2503.3	-1563.7	120.03	-2251	-1321.4	379.52	-2436.8	-1392.4	34.754	-2336.7	-1355.6	293.63	-2029.1	-1245.4	1182.9	-2212.6	-1292.2	582.66	-2358.8	-1384.9	33.107	-2111.9	-1159.3	1054.7	-2025.9	-1146.1	676.44	-2148.4	-1105.4	665.95	-2623.9	-1966.1	194.31	-2139.6	-1540.6	1192.8	-1990.8	-1460	1358.3	-2322.5	-1611.1	875.69	-1985.5	-1733.1	950.05	-1829.1	-1372.7	1374.1	-1863.6	-1533	724.71	-1911.3	-1634.7	817.53	-2155.4	-1650.5	728.44	-2703.4	-1904.2	154.44	-2367.1	-1846.2	415.14	-2611.1	-2075.8	103.83	-2522.2	-1923.6	303.51	-1971.5	-1554.7	1243.2	-2260.5	-1798.2	513.42	-2544.8	-2092.1	34.58	-1960.3	-1640.8	1180.7	-1886.3	-1541.3	833.48	-1916.7	-1617.3	731.56	-9999.99	-9999.99	-9999.99	-2221	-1490	1115.4
56	0.4583	-2084.4	-1399.2	1245.2	-1927.5	-1375.4	1115	-2446.7	-1463.9	144.99	-2022.5	-1299.8	1340.2	-2335.8	-1428.7	876.73	-2158.5	-1103.2	864.25	-1892.1	-1242.4	1356.3	-2039.9	-1069.1	601.73	-2144.6	-1113.1	740.31	-2180.7	-1369.9	735.03	-2501.6	-1562	121.85	-2248.8	-1316.7	379.52	-2437.4	-1392.5	36.054	-2334.9	-1351.4	294.06	-2026	-1224.9	1178.9	-2207.5	-1284.1	583.79	-2358.7	-1384.5	33.194	-2106.5	-1143	1043.6	-1999.6	-1122.7	671.24	-2123	-1093.6	652.35	-2605.7	-1947.6	212.42	-2127.9	-1523.5	1197.1	-1981.7	-1438.2	1360	-2306	-1604.4	878.55	-1979.2	-1722.9	960.79	-1819.3	-1352.7	1374.3	-1872	-1557.5	699.67	-1913.8	-1642.2	810.34	-2137.3	-1636.4	729.91	-2691	-1882.7	185.55	-2330.9	-1831.1	409.59	-2595	-2040.4	103.91	-2494.5	-1907.7	312.87	-1959.3	-1534.4	1245.8	-2230.5	-1782.8	508.48	-2538.3	-2049.3	27.82	-1949	-1621.2	1186.7	-1884.1	-1549.2	811.81	-1927.4	-1636.4	724.02	-1957.1	-1420.1	930.55	-2209.2	-1477.3	1118.6
57	0.4667	-2074.7	-1380.1	1245.8	-1920.4	-1354.2	1116.4	-2445.1	-1462.3	146.73	-2012.5	-1278.3	1341.9	-2325.1	-1422.9	880.71	-2142.5	-1091.6	848.3	-1882	-1221.1	1356.9	-2005.7	-1053.1	594.97	-2118.8	-1099.9	726.62	-2171.5	-1357.6	739.71	-2499.3	-1560.7	124.02	-2246.2	-1312	379.34	-2436.4	-1392.1	37.18	-2333.4	-1347.7	294.67	-2023.3	-1205.3	1174	-2200.9	-1276	583.96	-2358.5	-1384.2	33.194	-2101.3	-1126.9	1031.7	-1970.4	-1103.6	669.68	-2093.2	-1080.6	639.26	-2583.6	-1927.4	228.89	-2116.9	-1506.4	1201	-1972.6	-1416.4	1360.8	-2288.9	-1597.5	880.19	-1973	-1712.5	971.11	-1809.4	-1332.6	1373.6	-1884	-1587.3	681.12	-1917.9	-1652.7	806.27	-2118.8	-1622.8	731.13	-2675.9	-1870.5	222.74	-2294.3	-1814.4	403.78	-2585.5	-2010.8	111.97	-2463.3	-1890.9	320.15	-1947.1	-1513.8	1247.7	-2199.9	-1766.3	502.93	-2529.9	-2003.9	21.58	-1937.5	-1601.5	1192.1	-1886.1	-1561.7	792.14	-1939.6	-1657.3	718.13	-1946.6	-1401.8	933.23	-2197.5	-1464.3	1121.2
58	0.4750	-2065.7	-1361.5	1246.5	-1912.8	-1334.3	1118.7	-2443.2	-1461	148.29	-2002.4	-1257.5	1342.6	-2314.5	-1417.7	883.92	-2123.6	-1080	833.05	-1872	-1200.3	1356.5	-1965.4	-1040	591.59	-2090.2	-1086.2	715.09	-2162.4	-1345.8	744.39	-2497.1	-1560.2	127.75	-2244.4	-1307.5	379.17	-2435.3	-1391.4	37.7	-2332.1	-1344.3	295.1	-2021.7	-1187	1169.7	-2194.2	-1268.2	581.88	-2358.5	-1383.8	33.454	-2096.5	-1112.4	1019.9	-1938.5	-1088.8	671.15	-2058.6	-1067.3	628.69	-2559.3	-1904.9	243.1	-2105.3	-1488.2	1202.9	-1962.9	-1395.1	1360.4	-2271.5	-1590.7	881.15	-1965.9	-1702.2	980.99	-1799.3	-1312.4	1371.9	-1899.1	-1618	670.81	-1923	-1665.7	805.57	-2099.9	-1609.2	731.73	-2654.4	-1852	253.24	-2257.4	-1795.3	396.68	-2573.2	-1977.8	120.29	-2430.3	-1872.4	324.48	-1935.2	-1493.5	1249	-2169.5	-1748.3	496.95	-2530.4	-1950.4	26	-1925.1	-1581.8	1196.4	-1890.9	-1577.3	776.28	-1952.3	-1680	723.15	-1936.6	-1385.3	935.31	-2185.6	-1451.2	1122.8
59	0.4833	-2057.1	-1344	1246.7	-1903.6	-1315	1118.7	-2441.5	-1459.7	149.33	-1991.6	-1236.5	1342.4	-2303.7	-1412.9	886.17	-2103.2	-1068.4	819.27	-1860.9	-1180.1	1355.4	-1922.4	-1029	592.29	-2059.7	-1075.4	704.78	-2155	-1334.9	748.46	-2494	-1559.2	130	-2242.7	-1303	379	-2435.1	-1391.3	37.7	-2331.2	-1341.1	295.36	-2019.5	-1169.6	1165.1	-2193.1	-1260.4	587.17	-2358.5	-1383.7	33.28	-2091.4	-1099.4	1008.6	-1904.7	-1076.8	675.66	-2020.3	-1054.7	621.93	-2533.3	-1879.6	256.97	-2092.7	-1469.6	1204.2	-1953	-1374.5	1359.5	-2253.9	-1584.2	881.58	-1958.5	-1692.1	991.3	-1788.6	-1292.6	1370	-1915.4	-1647.6	669.16	-1929	-1679	809.04	-2082.3	-1597.6	733.9	-2627.4	-1826.5	276.9	-2220.5	-1774	388.53	-2557.6	-1945.8	131.73	-2397.2	-1851	326.56	-1923.1	-1473.3	1249.1	-2139.6	-1728	491.32	-2520.3	-1916.4	37.18	-1911.8	-1561.7	1199.2	-1899.5	-1592.9	765.53	-1962.3	-1703	732.17	-1926.7	-1366.3	936.01	-2173.7	-1438.1	1123.8
60	0.4917	-2047.4	-1326.8	1245.9	-1891.5	-1295.3	1117.5	-2440.5	-1458.4	150.02	-1980.4	-1215.9	1341.6	-2292.5	-1408.3	888.08	-2081.9	-1057.3	807.91	-1849	-1160.6	1354.4	-1877.6	-1018.8	599.05	-2027.2	-1066.8	697.07	-2147.6	-1324	751.06	-2491.6	-1558.1	130.87	-2241.3	-1298.8	378.39	-2434.9	-1391.4	37.44	-2330.7	-1338.1	295.71	-2016.1	-1152.5	1160.6	-2191.1	-1253.1	589.77	-2358.4	-1383.9	32.76	-2085	-1087.2	998.76	-1870.1	-1066.1	684.59	-1979.2	-1043.1	620.37	-2506	-1852.5	271.88	-2079.9	-1452.1	1205.3	-1942.6	-1354.3	1357.7	-2235.8	-1577.5	881.15	-1950.5	-1682.6	1002.7	-1777.5	-1273.2	1367.7	-1930.3	-1675.1	675.05	-1934.8	-1689.1	818.14	-2077.6	-1588.4	717.78	-2598	-1797.2	295.02	-2184.5	-1751.4	381.68	-2535.8	-1917.1	146.99	-2364.5	-1826.2	328.73	-1909.7	-1452.7	1247.8	-2108.9	-1705.6	486.03	-2503.6	-1888.4	51.827	-1897.6	-1541.2	1200.5	-1913.1	-1606.6	762.07	-1968.1	-1724.3	747.07	-1916.6	-1348.4	935.49	-2162.1	-1425.2	1124.2
61	0.5000	-2036.4	-1310	1245.2	-1878.9	-1276.6	1117.1	-2440.2	-1457.6	150.54	-1968.9	-1196.1	1340.7	-2280.7	-1403.3	889.64	-2058.7	-1047	799.25	-1836.7	-1141.2	1352.8	-1832.7	-1009.7	611.7	-1992.7	-1058	694.47	-2139.9	-1311.8	752.88	-2491.9	-1558.2	132.95	-2241.7	-1295.8	378.22	-2434.8	-1392	37.18	-2330.4	-1335.4	295.19	-2011.2	-1136.1	1156.5	-2187.3	-1246.4	588.04	-2358.3	-1384.3	32.067	-2076.2	-1075.8	990.35	-1835.2	-1056.2	697.67	-1936.3	-1032.5	623.75	-2475.9	-1823.7	286.09	-2066.9	-1435.3	1206	-1931.2	-1334.1	1355.2	-2217.3	-1570.7	880.37	-1942.4	-1674	1015.4	-1765.8	-1253.8	1364.8	-1944.6	-1699.1	687.97	-1939	-1696.9	832.09	-2044.6	-1562.4	730.09	-2566.7	-1766.6	308.62	-2147.8	-1726.2	375.88	-2506.6	-1890.8	163.8	-2331	-1798	332.63	-1895.2	-1432.4	1245.8	-2077.1	-1682.4	481.7	-2477.4	-1866.6	69.074	-1882.7	-1521.4	1201.1	-1929.2	-1619.7	765.79	-1972.3	-1742.9	767.79	-1905.7	-1328.9	933.93	-2150.2	-1412.6	1124.4
62	0.5083	-2024.5	-1293.9	1244.5	-1867.9	-1257.4	1115.3	-2440.8	-1457.4	151.15	-1957.2	-1176.6	1339.4	-2268.5	-1397.6	890.94	-2033.4	-1037.3	792.49	-1824.5	-1121.9	1350.5	-1789.2	-1001.3	628.77	-1957.3	-1048.6	695.68	-2132.7	-1299.8	753.75	-2492.6	-1558.2	134.85	-2242.1	-1293.3	377.78	-2435.3	-1392.5	36.4	-2330.4	-1332.9	293.98	-2004.8	-1120.3	1153.3	-2183.8	-1239.6	585.87	-2358.5	-1384.4	31.72	-2064.6	-1065.3	983.59	-1800.8	-1046.4	714.66	-1894.1	-1023.5	629.81	-2441.9	-1793.9	297.53	-2053.5	-1419.6	1206.4	-1916.1	-1313.6	1350.9	-2198.3	-1563.1	879.5	-1934.9	-1666.3	1030.4	-1753.9	-1235.1	1361.9	-1959.2	-1719.3	707.03	-1941.8	-1704.2	849.51	-2026.2	-1544.7	730.43	-2532.9	-1736.8	318.76	-2111.1	-1698	372.93	-2471.7	-1866.7	180.61	-2296.6	-1767.4	338.96	-1880.5	-1413	1243.3	-2045.7	-1659.3	479.96	-2443.4	-1847.3	86.147	-1867.9	-1503.2	1202.1	-1945.4	-1632.6	773.33	-1978	-1758.6	794.13	-1894.2	-1311.8	931.67	-2137.5	-1399.9	1124.6
63	0.5167	-2011.4	-1278.4	1243.3	-1858.7	-1236.2	1111.9	-2441.6	-1457.5	151.23	-1944.5	-1158	1337.4	-2256.2	-1391.2	892.07	-2007	-1027.9	787.81	-1812.6	-1103.4	1347.9	-1747.5	-992.17	650.18	-1921.5	-1040	699.67	-2125.6	-1288	752.62	-2491.9	-1558.2	135.55	-2241.8	-1290.2	375.7	-2436	-1393	35.447	-2331.2	-1330.9	292.59	-1996.8	-1105.2	1151.2	-2181.6	-1233	584.57	-2359.1	-1384.5	31.98	-2050.9	-1054.8	978.73	-1767.8	-1036.4	734.68	-1852.3	-1015.5	639.17	-2405.3	-1765.6	307.5	-2039.6	-1405.2	1207.2	-1905.1	-1295.9	1348.9	-2179.5	-1554.3	879.07	-1927.6	-1659.3	1048.2	-1741.8	-1217	1359	-1973.8	-1735.5	731.21	-1944.6	-1710.5	870.75	-2009.1	-1527.5	731.47	-2497.8	-1709.9	326.74	-2075.9	-1668.7	374.14	-2432.2	-1843.3	194.74	-2261.5	-1736.4	348.06	-1865.9	-1394.9	1241.3	-2014.8	-1635.9	480.31	-2403.6	-1827.6	100.88	-1853.4	-1485.9	1203.6	-1958.2	-1643.9	790.15	-1982.5	-1769.7	822.91	-1882.5	-1294.4	929.42	-2123.4	-1387.1	1124.2
64	0.5250	-1996.7	-1262.7	1241.5	-1844.3	-1222	1110.6	-2441.7	-1457.5	150.8	-1931.2	-1140.7	1334.7	-2243	-1383.3	892.93	-1980	-1018.4	785.55	-1800	-1085.7	1345.3	-1707.9	-981.86	675.23	-1885.6	-1031.5	706.43	-2118.2	-1276.7	750.54	-2491.6	-1559.3	135.81	-2242	-1287.5	373.54	-2436.2	-1393.4	34.32	-2332.7	-1329.7	291.46	-1986.4	-1090.2	1149.7	-2179.9	-1226.9	583.1	-2360.1	-1384.6	32.414	-2034.6	-1043.5	974.92	-1736.5	-1025.3	757.39	-1810.2	-1006.6	653.56	-2367.1	-1739.1	316.25	-2025.2	-1391.4	1208	-1893.2	-1279.5	1347.3	-2161.3	-1545.4	879.93	-1920	-1652	1068.4	-1728.8	-1199	1356.1	-1987.2	-1747.6	759.03	-1948	-1714.5	896.57	-1992.7	-1511.2	733.38	-2461.9	-1685.7	333.41	-2040.8	-1638.3	377.35	-2389.1	-1819.7	205.23	-2224.5	-1705.4	357.42	-1851.1	-1378	1239.4	-1983.9	-1609.8	482.04	-2360	-1806.2	112.67	-1839.3	-1469.4	1206.4	-1963.7	-1650.8	812.33	-1985.7	-1776.2	853.33	-1870.7	-1276.5	927.34	-2108.5	-1374.3	1123.8
65	0.5333	-1981.6	-1247.1	1239.7	-1829.9	-1207.5	1108.6	-2441.8	-1457.7	149.93	-1917.5	-1124.7	1331.9	-2229.7	-1373.6	893.71	-1952.7	-1008.7	784.77	-1786.6	-1068.8	1342.8	-1670.3	-969.89	702.87	-1850.4	-1021.5	715.61	-2110.4	-1267.3	747.94	-2491.4	-1561.1	135.72	-2244.3	-1286.5	372.67	-2436.4	-1394	33.54	-2334.3	-1329	290.16	-1973	-1074.8	1148.8	-2177.9	-1220.7	580.32	-2361.3	-1384.5	32.327	-2015.6	-1031	972.15	-1707.3	-1013.3	782.61	-1769.7	-995.81	671.76	-2327.5	-1714.2	322.58	-2010.6	-1377.1	1208.3	-1878.7	-1263.5	1345.3	-2143.5	-1535.4	881.67	-1912.3	-1643.6	1090.4	-1714.5	-1181.4	1353.3	-1997.3	-1756.2	790.41	-1949.8	-1715.9	924.83	-1976.2	-1496.5	736.93	-2424.3	-1663.8	338.09	-2005.2	-1607.1	381.34	-2343.4	-1795.6	212.25	-2184.7	-1674.2	364.35	-1836.2	-1362.3	1238.2	-1953	-1581.3	485.08	-2313.3	-1782.6	120.64	-1825.8	-1453.2	1211.6	-1968.6	-1656.6	837.47	-1989.4	-1779	886.17	-1858.5	-1259.3	925.17	-2093.6	-1361.2	1123.4
66	0.5417	-1967	-1232.6	1238.6	-1816.1	-1192.3	1105.9	-2442.5	-1459	149.24	-1903.2	-1109.4	1329.4	-2216.1	-1362.8	894.23	-1925.1	-998.58	785.47	-1773	-1052.7	1340.2	-1634.9	-956.89	732.69	-1816.1	-1010.3	726.88	-2102.7	-1256.3	744.91	-2490.7	-1562.6	134.94	-2246.9	-1285.8	372.24	-2436.7	-1394.8	32.934	-2335.9	-1328.8	288.78	-1958.1	-1059.6	1148	-2175	-1214.3	576.34	-2362.3	-1384.3	32.327	-1995.3	-1018	970.76	-1680	-1001	808.95	-1730.7	-983.68	692.13	-2285.8	-1690.4	326.13	-1996	-1362.3	1208.2	-1863.2	-1248.2	1343.3	-2125.9	-1522.9	882.1	-1904.4	-1633.6	1114.6	-1699.5	-1164.4	1351	-2003.4	-1761.4	825.42	-1949.6	-1714.6	954.55	-1959.7	-1482	740.57	-2385	-1644.2	340.34	-1968.6	-1575	385.76	-2295.6	-1770.7	215.46	-2143.5	-1644.9	368.86	-1821.8	-1347.1	1237.9	-1922.2	-1551.9	489.58	-2263.1	-1755.3	124.28	-1813.4	-1436.6	1219	-1973.7	-1660.5	866.15	-1993.4	-1778.2	921.1	-1845.3	-1243.5	922.75	-2078.6	-1347.4	1123.1
67	0.5500	-1952.4	-1217.6	1237.9	-1801.8	-1178.7	1103.9	-2443.4	-1461	149.33	-1888.2	-1095	1327.1	-2202.7	-1351.8	894.75	-1897	-987.75	787.89	-1758.3	-1037.3	1338	-1601.8	-943.98	764.23	-1782.7	-997.54	739.88	-2094.5	-1243.3	741.96	-2489.6	-1563.7	133.38	-2249.3	-1284.6	371.37	-2437.8	-1395.3	32.587	-2337.7	-1328.7	287.65	-1941.7	-1045	1147.5	-2172.3	-1207.5	573.3	-2362.9	-1384.4	32.414	-1974.1	-1004.1	970.5	-1654.8	-988.53	834.95	-1693.7	-969.98	713.88	-2242.2	-1667.1	326.48	-1981.4	-1346.7	1208	-1846.7	-1233.5	1340.9	-2108.4	-1508.6	881.49	-1895.9	-1621.8	1140	-1683.9	-1148.3	1348.7	-2006.1	-1761.9	860.87	-1948.4	-1710.7	986.19	-1943.4	-1466.9	742.74	-2344.4	-1626.1	339.65	-1931	-1542	390.61	-2246.2	-1744.7	215.2	-2101.8	-1617.8	371.28	-1807.4	-1331.6	1238.6	-1891.7	-1522.1	495.74	-2210.8	-1724.4	123.5	-1801	-1418.7	1227.2	-1972.4	-1660.5	895.27	-1997.6	-1773.6	957.41	-1831.1	-1229.2	920.84	-2063.7	-1333	1122.7
68	0.5583	-1937	-1202.7	1237.2	-1786.3	-1166.6	1102.5	-2444.5	-1462.1	149.15	-1872.4	-1081.4	1325.8	-2189.6	-1340.3	895.45	-1868.5	-975.61	791.53	-1742.7	-1022.8	1336.4	-1571.9	-929.85	796.3	-1750.1	-983.76	753.92	-2085.7	-1231.2	738.75	-2487.9	-1563.5	131.47	-2251.4	-1283.5	370.94	-2439.9	-1395.9	32.847	-2339.6	-1328.5	287.48	-1923.2	-1030.4	1148.2	-2169.6	-1201	570.96	-2363.8	-1384.6	32.327	-1951.1	-988.96	970.76	-1631.5	-975.27	860	-1658.9	-954.73	736.24	-2196.8	-1644.3	323.01	-1958.3	-1326.1	1202.8	-1829.6	-1219.8	1339	-2092.2	-1494.7	880.8	-1886.9	-1607.9	1165.8	-1667.9	-1133.8	1346.6	-2005.7	-1758.7	896.14	-1945.9	-1704	1018.7	-1927.7	-1449.9	744.21	-2302.3	-1608.9	336.18	-1893.4	-1508	396.42	-2194.6	-1716.9	210.86	-2059.3	-1592	371.54	-1792.8	-1316.3	1240.3	-1861.6	-1491.8	503.8	-2158.8	-1691.9	120.55	-1787.9	-1400.5	1236	-1970.4	-1659.4	923.79	-2000.2	-1765.6	994.08	-1815.9	-1216.1	919.89	-2049.2	-1317.9	1122.5
